pathway	pval	padj	ES	NES	nMoreExtreme	size	leadingEdge
HALLMARK_TNFA_SIGNALING_VIA_NFKB	0.00584388057893781	0.0678609189499441	-0.399668881334768	-1.87698241692315	192	44	B4GALT5 NAMPT SLC2A3 CSF1 ICAM1 TIPARP ABCA1 NFE2L2 CEBPD BMP2 CD83 PDE4B
HALLMARK_HYPOXIA	0.392985530012386	0.594997773489684	-0.225690472737206	-1.04754375233073	13008	42	SLC2A3 DDIT4 TIPARP ERRFI1 VLDLR BCAN HS3ST1 UGP2 BGN PPARGC1A ENO3 CASP6 PHKG1
HALLMARK_CHOLESTEROL_HOMEOSTASIS	0.953997298293012	0.967477668657158	0.151257094608869	0.537973495340544	38841	18	LPL TMEM97 ATXN2 CYP51A1 LGALS3
HALLMARK_MITOTIC_SPINDLE	0.600896219669162	0.732839923873969	0.198476633593568	0.904065535115786	25209	43	UXT NUSAP1 NOTCH2 PLK1 FARP1 TAOK2 CDK5RAP2 CDC42EP4 TBCD CYTH2 BIRC5 WASL KIF22 SHROOM2 ARHGAP10 TIAM1 BCL2L11 CCNB2 KNTC1 KIF15 TPX2 PRC1 CLASP1 ARHGEF12 ESPL1 KIF11 LMNB1 FBXO5 RANBP9 RASA2
HALLMARK_WNT_BETA_CATENIN_SIGNALING	0.658919175041772	0.769007531865904	0.276516839215491	0.835760867854932	26421	11	HEY1 NUMB TP53
HALLMARK_TGF_BETA_SIGNALING	0.875253785022333	0.913308297414608	-0.186332739186262	-0.639755917318476	30176	15	BMP2 ID3 CTNNB1 TJP1 SMAD3 ID1 ENG SMAD1
HALLMARK_IL6_JAK_STAT3_SIGNALING	0.169665138413325	0.313227947839984	-0.393855016026195	-1.3199310763909	5846	14	CSF1 A2M CD38 IL6ST BAK1 IRF9 STAT3 MAP3K8 TNFRSF1A
HALLMARK_DNA_REPAIR	0.0216749698958751	0.138362183362331	0.326136949706689	1.59576151685784	917	58	POLR2K POLR2G EIF1B POLB RPA3 RBX1 COX17 TAF12 PRIM1 GTF2B PCNA GTF2A2 DCTN4 VPS37B ERCC5
HALLMARK_G2M_CHECKPOINT	0.198073181594431	0.339554025590452	0.240271823817206	1.21106412200874	8449	66	HIST1H2BK HMGN2 CKS2 PTTG1 CKS1B STMN1 CENPA UBE2C CHEK1 E2F1 CDKN3 NUSAP1 NOTCH2 CHMP1A TNPO2
HALLMARK_APOPTOSIS	0.0505522514868309	0.173322005097706	-0.319342995188691	-1.51701184804295	1665	46	GPX3 HGF PMAIP1 CD38 BMP2 DFFA PPP3R1 BGN TGFB2 MMP2 PLAT CTNNB1 CTH CASP6 CLU CFLAR
HALLMARK_NOTCH_SIGNALING	0.396665182326456	0.594997773489684	0.329055155519052	1.0537654472674	16033	13	RBX1 FZD5 NOTCH2 APH1A PRKCA DTX1 SKP1
HALLMARK_ADIPOGENESIS	0.155581875607386	0.298717201166181	-0.268502931247732	-1.28324872481497	5122	47	GPX3 IDH1 PTCD3 ABCA1 ENPP2 REEP5 ESRRA DLD PREB IDH3A APOE TALDO1 SLC27A1 REEP6
