pathway	pval	padj	ES	NES	nMoreExtreme	size	leadingEdge
KEGG_GLYCOLYSIS_GLUCONEOGENESIS	0.145479904360697	0.531561189010238	-0.455311227328365	-1.36495340393193	5110	10	LDHB DLD ENO3 ACSS1 PDHB PCK2 PKM ALDH3B1 GALM
KEGG_OXIDATIVE_PHOSPHORYLATION	2.38663484486874e-05	0.000379641618312313	0.559968403437996	2.56378663309834	0	44	UQCRQ COX7B NDUFA11 NDUFA4 NDUFB9 NDUFA2 NDUFB1 NDUFB6 COX7A2 NDUFS4 COX17 NDUFA7 NDUFA3 COX7C ATP6V0E2 COX5A NDUFC1 UQCR10 NDUFS3 COX6C UQCRH NDUFS5
KEGG_PURINE_METABOLISM	0.401343671739549	0.82886193076646	0.248809267155051	1.04739329713312	16666	32	POLR2K POLR2G ADCY8 PRIM1 PDE3B
KEGG_PYRIMIDINE_METABOLISM	0.181444811147781	0.598799630655586	0.34941583954229	1.2833957523761	7421	20	POLR2K POLR2G PRIM1
KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_DEGRADATION	0.00694305551587188	0.066905472815925	-0.631202362678288	-1.95335324092444	242	11	BCAT1 HADHB DLD
KEGG_LYSINE_DEGRADATION	0.0587783217579415	0.328467092176732	-0.527687501228885	-1.58192640063156	2064	10	PIPOX AASDH SETD7 BBOX1 PLOD2
KEGG_GLUTATHIONE_METABOLISM	0.189094620207027	0.598799630655586	-0.358502347457889	-1.279240847049	6484	17	GPX3 IDH1 RRM2B
KEGG_N_GLYCAN_BIOSYNTHESIS	0.594270138606971	0.994463007159904	-0.262785094246344	-0.879736596867603	20493	14	MAN1C1 MAN2A1 DPAGT1 ALG2 ALG11
KEGG_AMINOACYL_TRNA_BIOSYNTHESIS	0.157740067417673	0.555011348321441	-0.420025317626651	-1.33543793985842	5474	12	PARS2 NARS TARS YARS MARS2 CARS AARS LARS
KEGG_RIBOSOME	2.351668508807e-05	0.000379641618312313	0.758681997738509	3.77259909492483	0	62	RPS15A RPL27 RPS21 RPS13 RPS7 RPS29 RPL24 RPL34 RPL32 RPL35A RPS27A RPL10A RPL26 RPS19 RPS3 RPL14 RPL37 RPL36 RPL17 RPS27L RPL27A RPS10 RPL41 RPL38 RPL30 RPS8 RPS20 RPL11 RPL39 RSL24D1 RPS12 RPL35 RPL37A RPL18 RPS17 RPL22L1 RPS28 RPL29 RPL26L1 RPL18A RPL12 RPL23 RPL9 RPS5 FAU RPL23A RPLP1 RPS15
KEGG_RNA_DEGRADATION	0.249969492104557	0.698444169115673	0.320756243878905	1.19593638432342	10241	21	LSM1 LSM3 WDR61 PARN C1D LSM5 LSM4 LSM2 DCPS DCP1A
KEGG_RNA_POLYMERASE	0.0410302711107767	0.243617234720237	0.549108386008988	1.60558489553611	1635	10	POLR2K POLR2G POLR2H
KEGG_BASAL_TRANSCRIPTION_FACTORS	0.293996475814658	0.720977461368365	0.370571923004309	1.1550395969179	11845	12	TAF4B TAF12 GTF2B GTF2A2 GTF2I TAF9
KEGG_DNA_REPLICATION	0.00774694948394921	0.066905472815925	0.578743918405518	1.85128824892944	312	13	RPA3 RNASEH2B PRIM1 DNA2 RNASEH2C PCNA MCM2 POLE2 MCM5 RNASEH2A MCM4 POLE4
KEGG_SPLICEOSOME	0.115604478669627	0.493214573025496	0.273711068503822	1.33006458086807	4893	56	SNRPG SNRPD2 LSM3 SNRPF SF3B6 SNRPC SNRPB PRPF6 LSM5 SNRPB2
KEGG_PROTEASOME	0.956084809758931	0.994463007159904	-0.152787213413936	-0.534461379816373	32917	16	PSMD7 PSMC6
KEGG_PROTEIN_EXPORT	0.287444469262651	0.720977461368365	0.372787541683994	1.16194548251754	11581	12	IMMP1L SEC61G SPCS1 SRP14 SRP9
KEGG_PPAR_SIGNALING_PATHWAY	0.206706503451877	0.62908187628563	-0.367075386140771	-1.25714214288346	7125	15	CPT1A ACSL3 ILK
KEGG_BASE_EXCISION_REPAIR	0.789268607450426	0.994463007159904	0.233888995381599	0.729011115464225	31801	12	POLB PCNA MPG POLE2 UNG POLE4 POLD1 APEX2 HMGB1
KEGG_NUCLEOTIDE_EXCISION_REPAIR	0.249173451764125	0.698444169115673	0.35919349405363	1.20404584743231	10098	15	RPA3 RBX1 PCNA ERCC5 ERCC3 GTF2H5 CETN2 POLE2 DDB2
KEGG_MAPK_SIGNALING_PATHWAY	0.965072962391743	0.994463007159904	0.119851475604757	0.571632948988195	40672	52	MAP2K4 STMN1 FOS RASGRF2 EGFR RAC1 DUSP6 PLA2G4A TAOK2 CACNA2D1 TP53 LAMTOR3 PRKCA DUSP10 MAPK8IP3 AKT1
KEGG_ERBB_SIGNALING_PATHWAY	0.435853970125786	0.862627649207285	0.286974583284974	1.01942476509352	17740	18	MAP2K4 SRC PTK2 EGFR SHC4 RPS6KB1 PRKCA AKT1 ERBB2 BAD CBL CRKL ARAF PLCG2
KEGG_CALCIUM_SIGNALING_PATHWAY	0.772209237886418	0.994463007159904	0.184393123544167	0.769175912955021	32048	31	ITPKB ADCY8 CALM2 VDAC3 GNAQ EGFR F2R PTK2B VDAC2 PRKCA
KEGG_CYTOKINE_CYTOKINE_RECEPTOR_INTERACTION	0.301763150161622	0.720977461368365	-0.298318517603771	-1.13679636103013	10268	21	HGF CSF1 BMP2 TGFB2 IL6ST
KEGG_CHEMOKINE_SIGNALING_PATHWAY	0.119409843995646	0.493214573025496	0.345010143269212	1.37150668810411	4936	26	ADCY8 PTK2 RAC1 SHC4 PTK2B CXCR4 STAT2 GNG11 GNG10 AKT1 WASL VAV2 GNG2 GNB5 TIAM1
KEGG_PHOSPHATIDYLINOSITOL_SIGNALING_SYSTEM	0.428275351591414	0.862627649207285	0.306227598793414	1.02649985258733	17357	15	ITPKB PIK3C2B CALM2 INPP4A PRKCA
KEGG_NEUROACTIVE_LIGAND_RECEPTOR_INTERACTION	0.00415301824988301	0.0563623905341266	-0.545653822686094	-2.01514742077678	141	19	GABRQ CNR1 GRIA3 NPY2R ADCYAP1R1 ADRA1D HRH1 GRIA1 LTB4R2 HTR1F CYSLTR2
KEGG_CELL_CYCLE	0.0343193843193843	0.229078014184397	0.360099730965714	1.57566890782483	1426	37	ANAPC11 PTTG1 RBX1 CHEK2 CHEK1 E2F1 PCNA ANAPC13 MAD1L1 PLK1 PKMYT1 TP53 FZR1 CDKN2A MCM2 ORC4 ANAPC10 CDK2 SKP1
KEGG_OOCYTE_MEIOSIS	0.0872285431311448	0.460372866525486	0.348804683474622	1.4289140167813	3610	29	ANAPC11 PTTG1 ADCY8 RBX1 CALM2 ANAPC13 PLK1 PKMYT1 PPP2R5E PPP2R5C ANAPC10 CDK2 SKP1 IGF1
KEGG_P53_SIGNALING_PATHWAY	0.211901263590949	0.62908187628563	-0.32620668568982	-1.2430692409394	7210	21	CCNG1 CD82 PMAIP1 SESN1 RRM2B
KEGG_UBIQUITIN_MEDIATED_PROTEOLYSIS	0.595838952032364	0.994463007159904	0.214680842284768	0.9037254833914	24743	32	ANAPC11 RBX1 UBE2G1 UBE2C ANAPC13 RNF7 FZR1 SMURF2 ANAPC10 FANCL SKP1
KEGG_LYSOSOME	0.0361702127659574	0.229078014184397	-0.416599802993323	-1.65124053354124	1223	24	CTSA LAPTM4B SORT1 AP3M1 NAGLU ATP6V0C ATP6V1H CTSL LAMP2 NEU1
KEGG_ENDOCYTOSIS	0.994463007159904	0.994463007159904	0.0931318681318681	0.426399484624491	41667	44	MVB12B SRC VPS37B ARAP1 ASAP1 EGFR F2R AGAP2 SMURF2 CXCR4
KEGG_PEROXISOME	0.0354632587859425	0.229078014184397	-0.48160160139592	-1.6846793043243	1220	16	IDH1 ACSL3 PEX11B PIPOX
KEGG_MTOR_SIGNALING_PATHWAY	0.620773084367528	0.994463007159904	-0.284894950147829	-0.854071476007879	21808	10	DDIT4
KEGG_APOPTOSIS	0.628491372953842	0.994463007159904	-0.223281197084103	-0.861903664495913	21308	22	ENDOD1 DFFA PPP3R1 CASP6 CFLAR AIFM1 FADD RIPK1 IRAK4 TNFRSF10A TNFRSF1A BIRC3 MAP3K14 CASP7 IKBKB
KEGG_CARDIAC_MUSCLE_CONTRACTION	0.0074501905016138	0.066905472815925	0.481802972560642	1.84933035897899	306	23	UQCRQ COX7B COX7A2 COX7C ATP1B1 COX5A UQCR10 COX6C UQCRH CACNA2D1 COX4I1 COX5B COX8A CACNB2 UQCR11 SLC9A6
KEGG_VASCULAR_SMOOTH_MUSCLE_CONTRACTION	0.581377113452585	0.994463007159904	0.250122419515138	0.903801657955968	23725	19	ADCY8 KCNMB4 CALM2 MYL6B GNAQ PLA2G4A PRKCA
KEGG_WNT_SIGNALING_PATHWAY	0.911927358786737	0.994463007159904	0.153718811125591	0.617598873254015	37761	27	RBX1 FZD5 RAC1 CSNK2B TP53 PRKCA PPP2R5E PPP2R5C CHD8 SKP1 CSNK2A1
KEGG_NOTCH_SIGNALING_PATHWAY	0.836600359566201	0.994463007159904	-0.202768695782803	-0.678817201907285	28850	14	DLL3 DTX4 CIR1 HDAC2 NOTCH3
KEGG_TGF_BETA_SIGNALING_PATHWAY	0.848597799077032	0.994463007159904	-0.16991145832536	-0.681873094221996	28685	25	BMP2 ID3 ZFYVE16 PPP2CB TGFB2 LTBP1 BMP8A THBS2 SMAD3 INHBB ID1 SMAD1 CUL1
