"GO.ID"	"Term"	"Annotated"	"Significant"	"Expected"	"Statistics"
"GO:0034369"	"plasma lipoprotein particle remodeling"	11	3	0.08	"6.9e-05"
"GO:0030198"	"extracellular matrix organization"	256	11	1.96	"7.1e-05"
"GO:0120009"	"intermembrane lipid transfer"	30	4	0.23	"7.6e-05"
"GO:0015914"	"phospholipid transport"	59	5	0.45	"8.4e-05"
"GO:1900118"	"negative regulation of execution phase o..."	13	3	0.1	"0.00012"
"GO:0070374"	"positive regulation of ERK1 and ERK2 cas..."	102	6	0.78	"0.00013"
"GO:2000272"	"negative regulation of signaling recepto..."	37	4	0.28	"0.00018"
"GO:0042632"	"cholesterol homeostasis"	51	4	0.39	"0.00061"
"GO:0035767"	"endothelial cell chemotaxis"	21	3	0.16	"0.00084"
"GO:0048048"	"embryonic eye morphogenesis"	27	3	0.21	"0.00112"
"GO:0010922"	"positive regulation of phosphatase activ..."	21	3	0.16	"0.00117"
"GO:0050731"	"positive regulation of peptidyl-tyrosine..."	107	5	0.82	"0.00149"
"GO:0000184"	"nuclear-transcribed mRNA catabolic proce..."	117	5	0.9	"0.00202"
"GO:0071402"	"cellular response to lipoprotein particl..."	22	3	0.17	"0.00246"
"GO:1902931"	"negative regulation of alcohol biosynthe..."	10	2	0.08	"0.00252"
"GO:0043691"	"reverse cholesterol transport"	10	2	0.08	"0.00252"
"GO:0032352"	"positive regulation of hormone metabolic..."	10	2	0.08	"0.00252"
"GO:0009409"	"response to cold"	36	3	0.28	"0.00259"
"GO:0085029"	"extracellular matrix assembly"	37	3	0.28	"0.00281"
"GO:0000302"	"response to reactive oxygen species"	173	5	1.33	"0.00294"
"GO:2000341"	"regulation of chemokine (C-X-C motif) li..."	11	2	0.08	"0.00306"
"GO:0010934"	"macrophage cytokine production"	11	2	0.08	"0.00306"
"GO:0071398"	"cellular response to fatty acid"	40	3	0.31	"0.00351"
"GO:0035627"	"ceramide transport"	12	2	0.09	"0.00365"
"GO:0009886"	"post-embryonic animal morphogenesis"	12	2	0.09	"0.00365"
"GO:0010893"	"positive regulation of steroid biosynthe..."	12	2	0.09	"0.00365"
"GO:0032755"	"positive regulation of interleukin-6 pro..."	41	3	0.31	"0.00377"
"GO:0002576"	"platelet degranulation"	84	4	0.64	"0.00391"
"GO:0010885"	"regulation of cholesterol storage"	13	2	0.1	"0.00430"
"GO:0033194"	"response to hydroperoxide"	13	2	0.1	"0.00430"
"GO:0060009"	"Sertoli cell development"	13	2	0.1	"0.00430"
"GO:0046321"	"positive regulation of fatty acid oxidat..."	13	2	0.1	"0.00430"
"GO:1903206"	"negative regulation of hydrogen peroxide..."	13	2	0.1	"0.00430"
"GO:0035729"	"cellular response to hepatocyte growth f..."	13	2	0.1	"0.00430"
"GO:0048012"	"hepatocyte growth factor receptor signal..."	13	2	0.1	"0.00430"
"GO:0002021"	"response to dietary excess"	13	2	0.1	"0.00430"
"GO:0061081"	"positive regulation of myeloid leukocyte..."	14	2	0.11	"0.00499"
"GO:0001845"	"phagolysosome assembly"	14	2	0.11	"0.00499"
"GO:0045669"	"positive regulation of osteoblast differ..."	46	3	0.35	"0.00522"
"GO:0042493"	"response to drug"	276	7	2.12	"0.00523"
"GO:0045907"	"positive regulation of vasoconstriction"	15	2	0.12	"0.00573"
"GO:0048569"	"post-embryonic animal organ development"	15	2	0.12	"0.00573"
"GO:0032331"	"negative regulation of chondrocyte diffe..."	15	2	0.12	"0.00573"
"GO:0006614"	"SRP-dependent cotranslational protein ta..."	95	4	0.73	"0.00606"
"GO:0010566"	"regulation of ketone biosynthetic proces..."	16	2	0.12	"0.00651"
"GO:0070328"	"triglyceride homeostasis"	16	2	0.12	"0.00651"
"GO:0010875"	"positive regulation of cholesterol efflu..."	17	2	0.13	"0.00734"
"GO:0006700"	"C21-steroid hormone biosynthetic process"	17	2	0.13	"0.00734"
"GO:0060445"	"branching involved in salivary gland mor..."	17	2	0.13	"0.00734"
"GO:0033688"	"regulation of osteoblast proliferation"	17	2	0.13	"0.00734"
"GO:1902004"	"positive regulation of amyloid-beta form..."	17	2	0.13	"0.00734"
"GO:1900120"	"regulation of receptor binding"	17	2	0.13	"0.00734"
"GO:0002448"	"mast cell mediated immunity"	26	2	0.2	"0.00760"
"GO:0007160"	"cell-matrix adhesion"	163	4	1.25	"0.00771"
"GO:0045666"	"positive regulation of neuron differenti..."	297	7	2.28	"0.00841"
"GO:0120255"	"olefinic compound biosynthetic process"	19	2	0.15	"0.00914"
"GO:0003148"	"outflow tract septum morphogenesis"	19	2	0.15	"0.00914"
"GO:0031629"	"synaptic vesicle fusion to presynaptic a..."	19	2	0.15	"0.00914"
"GO:0010894"	"negative regulation of steroid biosynthe..."	19	2	0.15	"0.00914"
"GO:0006413"	"translational initiation"	179	5	1.37	"0.00959"
"GO:0000187"	"activation of MAPK activity"	109	4	0.84	"0.00976"
"GO:0042311"	"vasodilation"	20	2	0.15	"0.01011"
"GO:0032367"	"intracellular cholesterol transport"	20	2	0.15	"0.01011"
"GO:0032722"	"positive regulation of chemokine product..."	21	2	0.16	"0.01112"
"GO:0120162"	"positive regulation of cold-induced ther..."	62	3	0.48	"0.01191"
"GO:0030837"	"negative regulation of actin filament po..."	50	3	0.38	"0.01196"
"GO:0010811"	"positive regulation of cell-substrate ad..."	85	3	0.65	"0.01203"
"GO:0030890"	"positive regulation of B cell proliferat..."	22	2	0.17	"0.01217"
"GO:0031641"	"regulation of myelination"	38	3	0.29	"0.01412"
"GO:0071549"	"cellular response to dexamethasone stimu..."	24	2	0.18	"0.01439"
"GO:0050673"	"epithelial cell proliferation"	260	6	1.99	"0.01482"
"GO:0040036"	"regulation of fibroblast growth factor r..."	25	2	0.19	"0.01557"
"GO:0071312"	"cellular response to alkaloid"	25	2	0.19	"0.01557"
"GO:0032092"	"positive regulation of protein binding"	69	3	0.53	"0.01588"
"GO:0060326"	"cell chemotaxis"	155	7	1.19	"0.01768"
"GO:0071354"	"cellular response to interleukin-6"	29	2	0.22	"0.02066"
"GO:0050728"	"negative regulation of inflammatory resp..."	77	3	0.59	"0.02123"
"GO:0001523"	"retinoid metabolic process"	50	3	0.38	"0.02163"
"GO:0032757"	"positive regulation of interleukin-8 pro..."	30	2	0.23	"0.02202"
