"GO.ID"	"Term"	"Annotated"	"Significant"	"Expected"	"Statistics"
"GO:0006413"	"translational initiation"	180	36	8.52	"7.3e-20"
"GO:0006614"	"SRP-dependent cotranslational protein ta..."	95	31	4.5	"2.4e-18"
"GO:0000184"	"nuclear-transcribed mRNA catabolic proce..."	117	32	5.54	"2.3e-16"
"GO:0019083"	"viral transcription"	170	37	8.05	"2.3e-16"
"GO:0002181"	"cytoplasmic translation"	99	17	4.69	"2.6e-07"
"GO:0006120"	"mitochondrial electron transport, NADH t..."	46	10	2.18	"4.6e-05"
"GO:0000027"	"ribosomal large subunit assembly"	26	7	1.23	"0.00015"
"GO:0000028"	"ribosomal small subunit assembly"	19	6	0.9	"0.00018"
"GO:0032981"	"mitochondrial respiratory chain complex ..."	56	10	2.65	"0.00026"
"GO:0006123"	"mitochondrial electron transport, cytoch..."	14	5	0.66	"0.00033"
"GO:0042989"	"sequestering of actin monomers"	10	4	0.47	"0.00083"
"GO:0031954"	"positive regulation of protein autophosp..."	25	6	1.18	"0.00090"
"GO:0061844"	"antimicrobial humoral immune response me..."	11	4	0.52	"0.00126"
"GO:0051170"	"import into nucleus"	154	15	7.29	"0.00152"
"GO:0001503"	"ossification"	334	30	15.82	"0.00194"
"GO:0048013"	"ephrin receptor signaling pathway"	85	11	4.02	"0.00216"
"GO:0022407"	"regulation of cell-cell adhesion"	304	21	14.39	"0.00248"
"GO:0006122"	"mitochondrial electron transport, ubiqui..."	13	4	0.62	"0.00253"
"GO:0120035"	"regulation of plasma membrane bounded ce..."	621	44	29.4	"0.00302"
"GO:1903364"	"positive regulation of cellular protein ..."	136	11	6.44	"0.00314"
"GO:0000245"	"spliceosomal complex assembly"	55	7	2.6	"0.00468"
"GO:0050870"	"positive regulation of T cell activation"	140	10	6.63	"0.00493"
"GO:0006978"	"DNA damage response, signal transduction..."	16	4	0.76	"0.00574"
"GO:0030033"	"microvillus assembly"	16	4	0.76	"0.00574"
"GO:0034332"	"adherens junction organization"	59	8	2.79	"0.00621"
"GO:0032793"	"positive regulation of CREB transcriptio..."	17	4	0.8	"0.00723"
"GO:0030199"	"collagen fibril organization"	49	7	2.32	"0.00785"
"GO:0071549"	"cellular response to dexamethasone stimu..."	27	5	1.28	"0.00795"
"GO:0042273"	"ribosomal large subunit biogenesis"	68	14	3.22	"0.00858"
"GO:0001501"	"skeletal system development"	408	34	19.32	"0.00940"
"GO:0030278"	"regulation of ossification"	166	17	7.86	"0.00959"
"GO:0030502"	"negative regulation of bone mineralizati..."	10	3	0.47	"0.00988"
"GO:0006853"	"carnitine shuttle"	10	3	0.47	"0.00988"
"GO:0046330"	"positive regulation of JNK cascade"	114	13	5.4	"0.01055"
"GO:0001895"	"retina homeostasis"	51	7	2.41	"0.01084"
"GO:0000398"	"mRNA splicing, via spliceosome"	332	24	15.72	"0.01153"
"GO:0006613"	"cotranslational protein targeting to mem..."	99	33	4.69	"0.01157"
"GO:0033198"	"response to ATP"	29	4	1.37	"0.01310"
"GO:0060576"	"intestinal epithelial cell development"	11	3	0.52	"0.01311"
"GO:0086012"	"membrane depolarization during cardiac m..."	20	4	0.95	"0.01316"
"GO:0048010"	"vascular endothelial growth factor recep..."	79	8	3.74	"0.01456"
"GO:0033617"	"mitochondrial cytochrome c oxidase assem..."	21	4	0.99	"0.01566"
"GO:0045892"	"negative regulation of transcription, DN..."	1071	57	50.71	"0.01592"
"GO:0008652"	"cellular amino acid biosynthetic process"	70	7	3.31	"0.01678"
"GO:0030208"	"dermatan sulfate biosynthetic process"	12	3	0.57	"0.01687"
"GO:0097104"	"postsynaptic membrane assembly"	12	3	0.57	"0.01687"
"GO:0033631"	"cell-cell adhesion mediated by integrin"	12	3	0.57	"0.01687"
"GO:0032963"	"collagen metabolic process"	81	6	3.84	"0.01689"
"GO:0007346"	"regulation of mitotic cell cycle"	586	23	27.75	"0.01723"
"GO:0031346"	"positive regulation of cell projection o..."	350	29	16.57	"0.01967"
"GO:0072112"	"glomerular visceral epithelial cell diff..."	15	4	0.71	"0.02025"
"GO:0001738"	"morphogenesis of a polarized epithelium"	137	9	6.49	"0.02030"
"GO:1905475"	"regulation of protein localization to me..."	174	14	8.24	"0.02087"
"GO:0051591"	"response to cAMP"	78	7	3.69	"0.02090"
