"GO.ID"	"Term"	"Annotated"	"Significant"	"Expected"	"Statistics"
"GO:0006413"	"translational initiation"	180	39	4.82	"< 1e-30"
"GO:0006614"	"SRP-dependent cotranslational protein ta..."	95	34	2.55	"1.2e-29"
"GO:0000184"	"nuclear-transcribed mRNA catabolic proce..."	117	35	3.14	"2.0e-27"
"GO:0019083"	"viral transcription"	170	39	4.56	"2.4e-27"
"GO:0002181"	"cytoplasmic translation"	99	18	2.65	"9.4e-12"
"GO:0032981"	"mitochondrial respiratory chain complex ..."	56	9	1.5	"1.6e-05"
"GO:0006120"	"mitochondrial electron transport, NADH t..."	46	8	1.23	"2.6e-05"
"GO:0000027"	"ribosomal large subunit assembly"	26	6	0.7	"5.2e-05"
"GO:0042989"	"sequestering of actin monomers"	10	4	0.27	"9.4e-05"
"GO:0000028"	"ribosomal small subunit assembly"	19	5	0.51	"0.00011"
"GO:0033617"	"mitochondrial cytochrome c oxidase assem..."	21	5	0.56	"0.00019"
"GO:0000387"	"spliceosomal snRNP assembly"	37	6	0.99	"0.00037"
"GO:0042273"	"ribosomal large subunit biogenesis"	68	13	1.82	"0.00106"
"GO:0051170"	"import into nucleus"	154	10	4.13	"0.00139"
"GO:1903364"	"positive regulation of cellular protein ..."	136	9	3.64	"0.00248"
"GO:0061844"	"antimicrobial humoral immune response me..."	11	3	0.29	"0.00268"
"GO:0006283"	"transcription-coupled nucleotide-excisio..."	73	7	1.96	"0.00334"
"GO:0000245"	"spliceosomal complex assembly"	55	5	1.47	"0.00352"
"GO:0006122"	"mitochondrial electron transport, ubiqui..."	13	3	0.35	"0.00447"
"GO:1903206"	"negative regulation of hydrogen peroxide..."	14	3	0.38	"0.00557"
"GO:0045116"	"protein neddylation"	14	3	0.38	"0.00557"
"GO:0006123"	"mitochondrial electron transport, cytoch..."	14	3	0.38	"0.00557"
"GO:1902253"	"regulation of intrinsic apoptotic signal..."	27	4	0.72	"0.00673"
"GO:0010759"	"positive regulation of macrophage chemot..."	15	3	0.4	"0.00683"
"GO:0006978"	"DNA damage response, signal transduction..."	16	3	0.43	"0.00824"
"GO:0043923"	"positive regulation by host of viral tra..."	16	3	0.43	"0.00824"
"GO:0006364"	"rRNA processing"	214	18	5.73	"0.00877"
"GO:0072593"	"reactive oxygen species metabolic proces..."	198	8	5.31	"0.00980"
"GO:1902932"	"positive regulation of alcohol biosynthe..."	17	3	0.46	"0.00981"
"GO:0001822"	"kidney development"	249	8	6.67	"0.01221"
"GO:0006368"	"transcription elongation from RNA polyme..."	79	6	2.12	"0.01341"
"GO:1901798"	"positive regulation of signal transducti..."	20	3	0.54	"0.01371"
"GO:0008585"	"female gonad development"	84	5	2.25	"0.01523"
"GO:0071897"	"DNA biosynthetic process"	174	8	4.66	"0.01540"
"GO:0042769"	"DNA damage response, detection of DNA da..."	37	4	0.99	"0.01668"
"GO:0044772"	"mitotic cell cycle phase transition"	535	22	14.34	"0.01702"
"GO:0045860"	"positive regulation of protein kinase ac..."	452	19	12.11	"0.01731"
"GO:0030316"	"osteoclast differentiation"	71	7	1.9	"0.01738"
"GO:0035735"	"intraciliary transport involved in ciliu..."	38	4	1.02	"0.01826"
"GO:0000398"	"mRNA splicing, via spliceosome"	332	18	8.9	"0.01836"
"GO:0006297"	"nucleotide-excision repair, DNA gap fill..."	23	3	0.62	"0.02271"
"GO:0000715"	"nucleotide-excision repair, DNA damage r..."	23	3	0.62	"0.02271"
"GO:0042755"	"eating behavior"	24	3	0.64	"0.02545"
"GO:0010970"	"transport along microtubule"	153	9	4.1	"0.02649"
"GO:0009452"	"7-methylguanosine RNA capping"	32	3	0.86	"0.02671"
"GO:0034367"	"protein-containing complex remodeling"	16	2	0.43	"0.02675"
"GO:0032946"	"positive regulation of mononuclear cell ..."	91	4	2.44	"0.02675"
"GO:2000816"	"negative regulation of mitotic sister ch..."	37	2	0.99	"0.02679"
"GO:0009145"	"purine nucleoside triphosphate biosynthe..."	38	2	1.02	"0.02680"
"GO:0009259"	"ribonucleotide metabolic process"	329	9	8.82	"0.02686"
"GO:0042274"	"ribosomal small subunit biogenesis"	70	10	1.88	"0.02701"
"GO:1902680"	"positive regulation of RNA biosynthetic ..."	1322	32	35.43	"0.02717"
"GO:1904666"	"regulation of ubiquitin protein ligase a..."	24	3	0.64	"0.02786"
"GO:0021680"	"cerebellar Purkinje cell layer developme..."	25	3	0.67	"0.02786"
"GO:0021955"	"central nervous system neuron axonogenes..."	36	3	0.96	"0.02790"
"GO:0034379"	"very-low-density lipoprotein particle as..."	10	2	0.27	"0.02795"
"GO:1902947"	"regulation of tau-protein kinase activit..."	10	2	0.27	"0.02795"
"GO:0034551"	"mitochondrial respiratory chain complex ..."	10	2	0.27	"0.02795"
"GO:0031125"	"rRNA 3'-end processing"	10	2	0.27	"0.02795"
"GO:0042487"	"regulation of odontogenesis of dentin-co..."	10	2	0.27	"0.02795"
"GO:0010745"	"negative regulation of macrophage derive..."	10	2	0.27	"0.02795"
"GO:0000462"	"maturation of SSU-rRNA from tricistronic..."	35	4	0.94	"0.02821"
"GO:0042771"	"intrinsic apoptotic signaling pathway in..."	43	4	1.15	"0.03132"
"GO:1903214"	"regulation of protein targeting to mitoc..."	41	4	1.1	"0.03335"
"GO:0010761"	"fibroblast migration"	42	3	1.13	"0.03353"
"GO:0099550"	"trans-synaptic signaling, modulating syn..."	11	2	0.29	"0.03356"
"GO:0035331"	"negative regulation of hippo signaling"	11	2	0.29	"0.03356"
"GO:0006620"	"posttranslational protein targeting to e..."	11	2	0.29	"0.03356"
"GO:0060576"	"intestinal epithelial cell development"	11	2	0.29	"0.03356"
"GO:0042448"	"progesterone metabolic process"	11	2	0.29	"0.03356"
"GO:0001503"	"ossification"	334	13	8.95	"0.03381"
"GO:0009060"	"aerobic respiration"	74	7	1.98	"0.03401"
"GO:2001244"	"positive regulation of intrinsic apoptot..."	46	4	1.23	"0.03421"
"GO:0048008"	"platelet-derived growth factor receptor ..."	53	4	1.42	"0.03461"
"GO:0098869"	"cellular oxidant detoxification"	68	5	1.82	"0.03649"
"GO:0042795"	"snRNA transcription by RNA polymerase II"	69	5	1.85	"0.03740"
"GO:0071480"	"cellular response to gamma radiation"	28	3	0.75	"0.03810"
"GO:0048545"	"response to steroid hormone"	281	13	7.53	"0.03878"
"GO:0035627"	"ceramide transport"	12	2	0.32	"0.03958"
"GO:0002438"	"acute inflammatory response to antigenic..."	12	2	0.32	"0.03958"
"GO:0051770"	"positive regulation of nitric-oxide synt..."	12	2	0.32	"0.03958"
"GO:0061418"	"regulation of transcription from RNA pol..."	71	5	1.9	"0.04152"
"GO:0006294"	"nucleotide-excision repair, preincision ..."	29	3	0.78	"0.04168"
"GO:0045737"	"positive regulation of cyclin-dependent ..."	29	3	0.78	"0.04168"
"GO:0045471"	"response to ethanol"	95	6	2.55	"0.04221"
"GO:0045648"	"positive regulation of erythrocyte diffe..."	30	3	0.8	"0.04542"
"GO:0033151"	"V(D)J recombination"	13	2	0.35	"0.04596"
"GO:0045475"	"locomotor rhythm"	13	2	0.35	"0.04596"
"GO:0006596"	"polyamine biosynthetic process"	13	2	0.35	"0.04596"
"GO:0010893"	"positive regulation of steroid biosynthe..."	13	2	0.35	"0.04596"
"GO:0045879"	"negative regulation of smoothened signal..."	31	3	0.83	"0.04932"
"GO:0032268"	"regulation of cellular protein metabolic..."	2148	64	57.56	"0.05190"
"GO:0007346"	"regulation of mitotic cell cycle"	586	21	15.7	"0.05216"
"GO:0051568"	"histone H3-K4 methylation"	47	4	1.26	"0.05239"
"GO:0032786"	"positive regulation of DNA-templated tra..."	26	3	0.7	"0.05251"
"GO:0040017"	"positive regulation of locomotion"	444	15	11.9	"0.05255"
"GO:0000291"	"nuclear-transcribed mRNA catabolic proce..."	35	4	0.94	"0.05256"
"GO:0033003"	"regulation of mast cell activation"	27	3	0.72	"0.05268"
"GO:0002675"	"positive regulation of acute inflammator..."	14	2	0.38	"0.05269"
"GO:0060009"	"Sertoli cell development"	14	2	0.38	"0.05269"
"GO:0000054"	"ribosomal subunit export from nucleus"	14	2	0.38	"0.05269"
"GO:0090161"	"Golgi ribbon formation"	14	2	0.38	"0.05269"
"GO:0045663"	"positive regulation of myoblast differen..."	14	2	0.38	"0.05269"
"GO:0006740"	"NADPH regeneration"	16	2	0.43	"0.05278"
"GO:0007004"	"telomere maintenance via telomerase"	65	3	1.74	"0.05279"
"GO:0031055"	"chromatin remodeling at centromere"	28	2	0.75	"0.05283"
"GO:0009991"	"response to extracellular stimulus"	406	12	10.88	"0.05285"
"GO:0065002"	"intracellular protein transmembrane tran..."	49	4	1.31	"0.05318"
"GO:0051301"	"cell division"	528	17	14.15	"0.05559"
"GO:0016055"	"Wnt signaling pathway"	468	13	12.54	"0.05730"
"GO:0043928"	"exonucleolytic catabolism of deadenylate..."	33	3	0.88	"0.05760"
"GO:1903146"	"regulation of autophagy of mitochondrion"	40	3	1.07	"0.05965"
"GO:0042104"	"positive regulation of activated T cell ..."	15	2	0.4	"0.05975"
"GO:0071071"	"regulation of phospholipid biosynthetic ..."	15	2	0.4	"0.05975"
"GO:1900118"	"negative regulation of execution phase o..."	15	2	0.4	"0.05975"
"GO:0000463"	"maturation of LSU-rRNA from tricistronic..."	15	2	0.4	"0.05975"
"GO:0090110"	"COPII-coated vesicle cargo loading"	15	2	0.4	"0.05975"
"GO:0051493"	"regulation of cytoskeleton organization"	481	16	12.89	"0.06657"
"GO:0001732"	"formation of cytoplasmic translation ini..."	16	2	0.43	"0.06710"
"GO:2000001"	"regulation of DNA damage checkpoint"	16	2	0.43	"0.06710"
"GO:0032516"	"positive regulation of phosphoprotein ph..."	16	2	0.43	"0.06710"
"GO:0030033"	"microvillus assembly"	16	2	0.43	"0.06710"
"GO:0006266"	"DNA ligation"	16	2	0.43	"0.06710"
"GO:0080182"	"histone H3-K4 trimethylation"	16	2	0.43	"0.06710"
"GO:0070131"	"positive regulation of mitochondrial tra..."	16	2	0.43	"0.06710"
"GO:0045655"	"regulation of monocyte differentiation"	16	2	0.43	"0.06710"
"GO:0051444"	"negative regulation of ubiquitin-protein..."	16	2	0.43	"0.06710"
"GO:0042474"	"middle ear morphogenesis"	16	2	0.43	"0.06710"
"GO:0006839"	"mitochondrial transport"	224	11	6	"0.07345"
"GO:0032651"	"regulation of interleukin-1 beta product..."	45	3	1.21	"0.07465"
"GO:0010801"	"negative regulation of peptidyl-threonin..."	17	2	0.46	"0.07474"
"GO:0035020"	"regulation of Rac protein signal transdu..."	17	2	0.46	"0.07474"
"GO:0031640"	"killing of cells of other organism"	17	2	0.46	"0.07474"
"GO:1902004"	"positive regulation of amyloid-beta form..."	17	2	0.46	"0.07474"
"GO:1903010"	"regulation of bone development"	17	2	0.46	"0.07474"
"GO:0060259"	"regulation of feeding behavior"	17	2	0.46	"0.07474"
"GO:0009200"	"deoxyribonucleoside triphosphate metabol..."	17	2	0.46	"0.07474"
"GO:0071479"	"cellular response to ionizing radiation"	65	6	1.74	"0.07481"
"GO:0006296"	"nucleotide-excision repair, DNA incision..."	37	3	0.99	"0.07595"
"GO:0000375"	"RNA splicing, via transesterification re..."	335	19	8.98	"0.07624"
"GO:0010648"	"negative regulation of cell communicatio..."	1182	27	31.67	"0.07727"
"GO:1901031"	"regulation of response to reactive oxyge..."	31	4	0.83	"0.07777"
"GO:0071824"	"protein-DNA complex subunit organization"	187	8	5.01	"0.07781"
"GO:0050792"	"regulation of viral process"	177	7	4.74	"0.07797"
"GO:0009746"	"response to hexose"	162	6	4.34	"0.07810"
"GO:0009263"	"deoxyribonucleotide biosynthetic process"	15	2	0.4	"0.07811"
"GO:1904872"	"regulation of telomerase RNA localizatio..."	18	2	0.48	"0.07813"
"GO:0034204"	"lipid translocation"	39	2	1.05	"0.07825"
"GO:0031647"	"regulation of protein stability"	262	13	7.02	"0.08189"
"GO:0010888"	"negative regulation of lipid storage"	18	2	0.48	"0.08264"
"GO:1901687"	"glutathione derivative biosynthetic proc..."	18	2	0.48	"0.08264"
"GO:0010667"	"negative regulation of cardiac muscle ce..."	18	2	0.48	"0.08264"
"GO:0031998"	"regulation of fatty acid beta-oxidation"	18	2	0.48	"0.08264"
"GO:0010155"	"regulation of proton transport"	18	2	0.48	"0.08264"
"GO:0033627"	"cell adhesion mediated by integrin"	56	3	1.5	"0.08265"
"GO:0014070"	"response to organic cyclic compound"	746	27	19.99	"0.08358"
"GO:0070125"	"mitochondrial translational elongation"	87	5	2.33	"0.08406"
"GO:0007229"	"integrin-mediated signaling pathway"	87	5	2.33	"0.08406"
"GO:0035019"	"somatic stem cell population maintenance"	62	4	1.66	"0.08438"
"GO:1901796"	"regulation of signal transduction by p53..."	166	10	4.45	"0.08628"
"GO:0051016"	"barbed-end actin filament capping"	19	2	0.51	"0.09078"
"GO:0006284"	"base-excision repair"	40	3	1.07	"0.09119"
"GO:0120035"	"regulation of plasma membrane bounded ce..."	621	15	16.64	"0.09223"
"GO:0023057"	"negative regulation of signaling"	1184	27	31.73	"0.09379"
"GO:0006613"	"cotranslational protein targeting to mem..."	99	35	2.65	"0.09404"
"GO:0042176"	"regulation of protein catabolic process"	359	15	9.62	"0.09724"
"GO:0032496"	"response to lipopolysaccharide"	213	7	5.71	"0.09844"
"GO:0043087"	"regulation of GTPase activity"	418	10	11.2	"0.09852"
"GO:0032288"	"myelin assembly"	20	2	0.54	"0.09915"
"GO:0051131"	"chaperone-mediated protein complex assem..."	20	2	0.54	"0.09915"
"GO:0034620"	"cellular response to unfolded protein"	129	4	3.46	"0.09959"
"GO:0006606"	"protein import into nucleus"	135	6	3.62	"0.10044"
"GO:0006303"	"double-strand break repair via nonhomolo..."	66	4	1.77	"0.10056"
"GO:0009893"	"positive regulation of metabolic process"	3068	88	82.21	"0.10118"
"GO:0010507"	"negative regulation of autophagy"	74	4	1.98	"0.10190"
"GO:0060575"	"intestinal epithelial cell differentiati..."	15	3	0.4	"0.10249"
"GO:0034284"	"response to monosaccharide"	167	7	4.48	"0.10250"
"GO:0051294"	"establishment of spindle orientation"	33	2	0.88	"0.10290"
"GO:0006458"	"'de novo' protein folding"	37	2	0.99	"0.10293"
"GO:0002821"	"positive regulation of adaptive immune r..."	63	2	1.69	"0.10313"
"GO:0006355"	"regulation of transcription, DNA-templat..."	2821	77	75.59	"0.10618"
"GO:0048146"	"positive regulation of fibroblast prolif..."	43	3	1.15	"0.10758"
"GO:0042276"	"error-prone translesion synthesis"	21	2	0.56	"0.10772"
"GO:0070987"	"error-free translesion synthesis"	21	2	0.56	"0.10772"
"GO:2000352"	"negative regulation of endothelial cell ..."	21	2	0.56	"0.10772"
"GO:0006293"	"nucleotide-excision repair, preincision ..."	21	2	0.56	"0.10772"
"GO:0006295"	"nucleotide-excision repair, DNA incision..."	21	2	0.56	"0.10772"
"GO:0046129"	"purine ribonucleoside biosynthetic proce..."	21	2	0.56	"0.10772"
"GO:0045671"	"negative regulation of osteoclast differ..."	21	2	0.56	"0.10772"
"GO:0030194"	"positive regulation of blood coagulation"	21	2	0.56	"0.10772"
"GO:0051123"	"RNA polymerase II preinitiation complex ..."	21	2	0.56	"0.10772"
"GO:0014912"	"negative regulation of smooth muscle cel..."	21	2	0.56	"0.10772"
"GO:0009226"	"nucleotide-sugar biosynthetic process"	21	2	0.56	"0.10772"
"GO:0006915"	"apoptotic process"	1594	49	42.71	"0.10900"
"GO:1901564"	"organonitrogen compound metabolic proces..."	5433	163	145.59	"0.10968"
"GO:0046513"	"ceramide biosynthetic process"	56	4	1.5	"0.11280"
"GO:0010332"	"response to gamma radiation"	50	5	1.34	"0.11524"
"GO:0002576"	"platelet degranulation"	96	5	2.57	"0.11525"
"GO:0007569"	"cell aging"	96	5	2.57	"0.11592"
"GO:0008334"	"histone mRNA metabolic process"	22	2	0.59	"0.11648"
"GO:0000717"	"nucleotide-excision repair, DNA duplex u..."	22	2	0.59	"0.11648"
"GO:0030217"	"T cell differentiation"	175	5	4.69	"0.11708"
"GO:0016032"	"viral process"	801	58	21.46	"0.11738"
"GO:0048812"	"neuron projection morphogenesis"	619	12	16.59	"0.11809"
"GO:0034260"	"negative regulation of GTPase activity"	45	3	1.21	"0.11910"
"GO:0032088"	"negative regulation of NF-kappaB transcr..."	71	4	1.9	"0.12264"
"GO:0001954"	"positive regulation of cell-matrix adhes..."	46	3	1.23	"0.12502"
"GO:0002931"	"response to ischemia"	46	3	1.23	"0.12502"
"GO:0032414"	"positive regulation of ion transmembrane..."	85	4	2.28	"0.12521"
"GO:0045907"	"positive regulation of vasoconstriction"	23	2	0.62	"0.12541"
"GO:0007413"	"axonal fasciculation"	23	2	0.62	"0.12541"
"GO:0042026"	"protein refolding"	23	2	0.62	"0.12541"
"GO:1901522"	"positive regulation of transcription fro..."	23	2	0.62	"0.12541"
"GO:0046545"	"development of primary female sexual cha..."	89	6	2.38	"0.12607"
"GO:0031960"	"response to corticosteroid"	128	7	3.43	"0.12608"
"GO:1902229"	"regulation of intrinsic apoptotic signal..."	37	3	0.99	"0.12662"
"GO:0016447"	"somatic recombination of immunoglobulin ..."	42	3	1.13	"0.12667"
"GO:0032098"	"regulation of appetite"	15	2	0.4	"0.12676"
"GO:0032637"	"interleukin-8 production"	53	3	1.42	"0.12677"
"GO:2000209"	"regulation of anoikis"	20	2	0.54	"0.12681"
"GO:0001910"	"regulation of leukocyte mediated cytotox..."	32	2	0.86	"0.12692"
"GO:0014706"	"striated muscle tissue development"	300	6	8.04	"0.12803"
"GO:0006793"	"phosphorus metabolic process"	2722	81	72.94	"0.12926"
"GO:0009749"	"response to glucose"	158	5	4.23	"0.13183"
"GO:0050434"	"positive regulation of viral transcripti..."	40	5	1.07	"0.13290"
"GO:0002082"	"regulation of oxidative phosphorylation"	24	2	0.64	"0.13449"
"GO:0048706"	"embryonic skeletal system development"	93	3	2.49	"0.13502"
"GO:0032956"	"regulation of actin cytoskeleton organiz..."	299	12	8.01	"0.13523"
"GO:1901215"	"negative regulation of neuron death"	182	8	4.88	"0.13598"
"GO:0050821"	"protein stabilization"	160	7	4.29	"0.13868"
"GO:0032007"	"negative regulation of TOR signaling"	36	3	0.96	"0.14326"
"GO:2001252"	"positive regulation of chromosome organi..."	165	6	4.42	"0.14356"
"GO:0010613"	"positive regulation of cardiac muscle hy..."	25	2	0.67	"0.14372"
"GO:0032735"	"positive regulation of interleukin-12 pr..."	25	2	0.67	"0.14372"
"GO:0040018"	"positive regulation of multicellular org..."	25	2	0.67	"0.14372"
"GO:0031954"	"positive regulation of protein autophosp..."	25	2	0.67	"0.14372"
"GO:0022011"	"myelination in peripheral nervous system"	25	2	0.67	"0.14372"
"GO:0030206"	"chondroitin sulfate biosynthetic process"	25	2	0.67	"0.14372"
"GO:0050829"	"defense response to Gram-negative bacter..."	25	2	0.67	"0.14372"
"GO:0048873"	"homeostasis of number of cells within a ..."	25	2	0.67	"0.14372"
"GO:0045937"	"positive regulation of phosphate metabol..."	897	30	24.04	"0.14822"
"GO:0051057"	"positive regulation of small GTPase medi..."	60	4	1.61	"0.14979"
"GO:0032095"	"regulation of response to food"	16	2	0.43	"0.15012"
