"GO.ID"	"Term"	"Annotated"	"Significant"	"Expected"	"Statistics"
"GO:0045668"	"negative regulation of osteoblast differ..."	37	9	1.74	"4.0e-05"
"GO:0001525"	"angiogenesis"	393	35	18.46	"4.4e-05"
"GO:0030199"	"collagen fibril organization"	49	10	2.3	"7.6e-05"
"GO:0001886"	"endothelial cell morphogenesis"	11	5	0.52	"8.2e-05"
"GO:0150105"	"protein localization to cell-cell juncti..."	12	5	0.56	"0.00014"
"GO:0001501"	"skeletal system development"	408	38	19.16	"0.00015"
"GO:0048013"	"ephrin receptor signaling pathway"	85	13	3.99	"0.00016"
"GO:0099560"	"synaptic membrane adhesion"	28	7	1.32	"0.00024"
"GO:1903729"	"regulation of plasma membrane organizati..."	14	5	0.66	"0.00032"
"GO:0030326"	"embryonic limb morphogenesis"	106	10	4.98	"0.00048"
"GO:0034446"	"substrate adhesion-dependent cell spread..."	93	13	4.37	"0.00053"
"GO:0072015"	"glomerular visceral epithelial cell deve..."	10	4	0.47	"0.00081"
"GO:0030502"	"negative regulation of bone mineralizati..."	10	4	0.47	"0.00081"
"GO:0060346"	"bone trabecula formation"	10	4	0.47	"0.00081"
"GO:0042476"	"odontogenesis"	101	11	4.74	"0.00085"
"GO:0035902"	"response to immobilization stress"	17	5	0.8	"0.00087"
"GO:0086014"	"atrial cardiac muscle cell action potent..."	17	5	0.8	"0.00087"
"GO:0051412"	"response to corticosterone"	17	5	0.8	"0.00087"
"GO:0009790"	"embryo development"	884	54	41.52	"0.00115"
"GO:0003401"	"axis elongation"	25	5	1.17	"0.00122"
"GO:0070886"	"positive regulation of calcineurin-NFAT ..."	11	4	0.52	"0.00122"
"GO:0038096"	"Fc-gamma receptor signaling pathway invo..."	69	10	3.24	"0.00135"
"GO:0033631"	"cell-cell adhesion mediated by integrin"	12	4	0.56	"0.00176"
"GO:0010592"	"positive regulation of lamellipodium ass..."	20	5	0.94	"0.00194"
"GO:0007229"	"integrin-mediated signaling pathway"	87	11	4.09	"0.00208"
"GO:0099188"	"postsynaptic cytoskeleton organization"	13	4	0.61	"0.00219"
"GO:0045428"	"regulation of nitric oxide biosynthetic ..."	44	4	2.07	"0.00220"
"GO:0030168"	"platelet activation"	121	18	5.68	"0.00239"
"GO:0030224"	"monocyte differentiation"	29	5	1.36	"0.00245"
"GO:0046330"	"positive regulation of JNK cascade"	114	12	5.35	"0.00270"
"GO:0010811"	"positive regulation of cell-substrate ad..."	101	13	4.74	"0.00274"
"GO:0032720"	"negative regulation of tumor necrosis fa..."	31	6	1.46	"0.00282"
"GO:0051258"	"protein polymerization"	256	17	12.02	"0.00302"
"GO:0043534"	"blood vessel endothelial cell migration"	97	10	4.56	"0.00309"
"GO:0032233"	"positive regulation of actin filament bu..."	52	6	2.44	"0.00312"
"GO:0022407"	"regulation of cell-cell adhesion"	304	27	14.28	"0.00313"
"GO:1905475"	"regulation of protein localization to me..."	174	17	8.17	"0.00320"
"GO:0071456"	"cellular response to hypoxia"	174	15	8.17	"0.00349"
"GO:0048488"	"synaptic vesicle endocytosis"	60	8	2.82	"0.00359"
"GO:0010976"	"positive regulation of neuron projection..."	268	26	12.59	"0.00380"
"GO:0048010"	"vascular endothelial growth factor recep..."	79	10	3.71	"0.00388"
"GO:0003184"	"pulmonary valve morphogenesis"	15	4	0.7	"0.00435"
"GO:0033630"	"positive regulation of cell adhesion med..."	15	4	0.7	"0.00435"
"GO:0048593"	"camera-type eye morphogenesis"	110	12	5.17	"0.00445"
"GO:0043113"	"receptor clustering"	53	8	2.49	"0.00454"
"GO:0045747"	"positive regulation of Notch signaling p..."	45	7	2.11	"0.00467"
"GO:0070374"	"positive regulation of ERK1 and ERK2 cas..."	136	14	6.39	"0.00474"
"GO:0043434"	"response to peptide hormone"	368	24	17.29	"0.00521"
"GO:0003180"	"aortic valve morphogenesis"	25	5	1.17	"0.00546"
"GO:0031954"	"positive regulation of protein autophosp..."	25	5	1.17	"0.00546"
"GO:0030198"	"extracellular matrix organization"	320	37	15.03	"0.00569"
"GO:0034332"	"adherens junction organization"	59	9	2.77	"0.00589"
"GO:0048015"	"phosphatidylinositol-mediated signaling"	157	15	7.37	"0.00596"
"GO:0060284"	"regulation of cell development"	842	66	39.55	"0.00622"
"GO:0045892"	"negative regulation of transcription, DN..."	1071	66	50.31	"0.00631"
"GO:0007603"	"phototransduction, visible light"	21	4	0.99	"0.00638"
"GO:0050900"	"leukocyte migration"	289	27	13.57	"0.00640"
"GO:0021885"	"forebrain cell migration"	54	3	2.54	"0.00643"
"GO:0022898"	"regulation of transmembrane transporter ..."	228	20	10.71	"0.00679"
"GO:0060561"	"apoptotic process involved in morphogene..."	19	4	0.89	"0.00699"
"GO:0045453"	"bone resorption"	52	6	2.44	"0.00702"
"GO:0032793"	"positive regulation of CREB transcriptio..."	17	4	0.8	"0.00703"
"GO:0032147"	"activation of protein kinase activity"	282	25	13.25	"0.00765"
"GO:0007173"	"epidermal growth factor receptor signali..."	103	8	4.84	"0.00771"
"GO:0070527"	"platelet aggregation"	50	7	2.35	"0.00840"
"GO:0007275"	"multicellular organism development"	4281	283	201.08	"0.00862"
"GO:0001779"	"natural killer cell differentiation"	18	4	0.85	"0.00871"
"GO:0097503"	"sialylation"	18	4	0.85	"0.00871"
"GO:0001523"	"retinoid metabolic process"	72	8	3.38	"0.00895"
"GO:0097106"	"postsynaptic density organization"	31	7	1.46	"0.00953"
"GO:0051250"	"negative regulation of lymphocyte activa..."	100	8	4.7	"0.00962"
"GO:0043011"	"myeloid dendritic cell differentiation"	10	3	0.47	"0.00966"
"GO:0060767"	"epithelial cell proliferation involved i..."	10	3	0.47	"0.00966"
"GO:0043650"	"dicarboxylic acid biosynthetic process"	10	3	0.47	"0.00966"
"GO:0006853"	"carnitine shuttle"	10	3	0.47	"0.00966"
"GO:0097531"	"mast cell migration"	10	3	0.47	"0.00966"
"GO:0075522"	"IRES-dependent viral translational initi..."	10	3	0.47	"0.00966"
"GO:1902513"	"regulation of organelle transport along ..."	10	3	0.47	"0.00966"
"GO:0003093"	"regulation of glomerular filtration"	10	3	0.47	"0.00966"
"GO:0001895"	"retina homeostasis"	51	6	2.4	"0.01060"
"GO:0031290"	"retinal ganglion cell axon guidance"	19	4	0.89	"0.01063"
"GO:0050772"	"positive regulation of axonogenesis"	83	7	3.9	"0.01168"
"GO:0035633"	"maintenance of blood-brain barrier"	30	5	1.41	"0.01209"
"GO:0035089"	"establishment of apical/basal cell polar..."	16	4	0.75	"0.01235"
"GO:0051653"	"spindle localization"	46	5	2.16	"0.01237"
"GO:0006282"	"regulation of DNA repair"	113	10	5.31	"0.01270"
"GO:0086012"	"membrane depolarization during cardiac m..."	20	4	0.94	"0.01280"
"GO:0060576"	"intestinal epithelial cell development"	11	3	0.52	"0.01282"
"GO:0061314"	"Notch signaling involved in heart develo..."	11	3	0.52	"0.01282"
"GO:0032816"	"positive regulation of natural killer ce..."	11	3	0.52	"0.01282"
"GO:0007160"	"cell-matrix adhesion"	190	23	8.92	"0.01284"
"GO:0008630"	"intrinsic apoptotic signaling pathway in..."	94	10	4.42	"0.01368"
"GO:0021987"	"cerebral cortex development"	106	9	4.98	"0.01408"
"GO:0002576"	"platelet degranulation"	96	10	4.51	"0.01452"
"GO:0010812"	"negative regulation of cell-substrate ad..."	53	7	2.49	"0.01512"
"GO:0031069"	"hair follicle morphogenesis"	21	4	0.99	"0.01524"
"GO:2000352"	"negative regulation of endothelial cell ..."	21	4	0.99	"0.01524"
"GO:0043588"	"skin development"	202	19	9.49	"0.01553"
"GO:0001764"	"neuron migration"	153	13	7.19	"0.01607"
"GO:0045926"	"negative regulation of growth"	206	18	9.68	"0.01608"
"GO:0010718"	"positive regulation of epithelial to mes..."	44	6	2.07	"0.01618"
"GO:0032963"	"collagen metabolic process"	81	9	3.8	"0.01631"
"GO:0008652"	"cellular amino acid biosynthetic process"	70	8	3.29	"0.01635"
"GO:0030208"	"dermatan sulfate biosynthetic process"	12	3	0.56	"0.01651"
"GO:0010935"	"regulation of macrophage cytokine produc..."	12	3	0.56	"0.01651"
"GO:0097104"	"postsynaptic membrane assembly"	12	3	0.56	"0.01651"
"GO:0060192"	"negative regulation of lipase activity"	12	3	0.56	"0.01651"
"GO:0061337"	"cardiac conduction"	129	15	6.06	"0.01732"
"GO:0006306"	"DNA methylation"	50	6	2.35	"0.01792"
"GO:0038083"	"peptidyl-tyrosine autophosphorylation"	33	5	1.55	"0.01794"
"GO:0044092"	"negative regulation of molecular functio..."	895	64	42.04	"0.01871"
"GO:0031346"	"positive regulation of cell projection o..."	350	37	16.44	"0.01886"
"GO:0001738"	"morphogenesis of a polarized epithelium"	137	14	6.43	"0.01968"
"GO:0072112"	"glomerular visceral epithelial cell diff..."	15	6	0.7	"0.01982"
"GO:0042149"	"cellular response to glucose starvation"	46	6	2.16	"0.01986"
"GO:0048641"	"regulation of skeletal muscle tissue dev..."	38	5	1.78	"0.01995"
"GO:0071300"	"cellular response to retinoic acid"	59	7	2.77	"0.02001"
"GO:0031343"	"positive regulation of cell killing"	24	3	1.13	"0.02003"
"GO:0035308"	"negative regulation of protein dephospho..."	54	4	2.54	"0.02006"
"GO:0051293"	"establishment of spindle localization"	42	3	1.97	"0.02008"
"GO:0048771"	"tissue remodeling"	132	14	6.2	"0.02024"
"GO:2000310"	"regulation of NMDA receptor activity"	34	5	1.6	"0.02024"
"GO:0007212"	"dopamine receptor signaling pathway"	34	5	1.6	"0.02024"
"GO:0046685"	"response to arsenic-containing substance"	33	5	1.55	"0.02063"
"GO:0043502"	"regulation of muscle adaptation"	68	6	3.19	"0.02069"
"GO:0090239"	"regulation of histone H4 acetylation"	13	3	0.61	"0.02073"
"GO:2000052"	"positive regulation of non-canonical Wnt..."	13	3	0.61	"0.02073"
"GO:0006012"	"galactose metabolic process"	13	3	0.61	"0.02073"
"GO:0007175"	"negative regulation of epidermal growth ..."	13	3	0.61	"0.02073"
"GO:0043518"	"negative regulation of DNA damage respon..."	13	3	0.61	"0.02073"
"GO:1900740"	"positive regulation of protein insertion..."	23	4	1.08	"0.02095"
"GO:0006024"	"glycosaminoglycan biosynthetic process"	101	12	4.74	"0.02135"
"GO:0006979"	"response to oxidative stress"	377	26	17.71	"0.02162"
"GO:0000902"	"cell morphogenesis"	936	75	43.96	"0.02197"
"GO:0098609"	"cell-cell adhesion"	679	68	31.89	"0.02214"
"GO:0007155"	"cell adhesion"	1134	111	53.26	"0.02227"
"GO:0001843"	"neural tube closure"	89	9	4.18	"0.02230"
"GO:0010243"	"response to organonitrogen compound"	872	57	40.96	"0.02246"
"GO:0006094"	"gluconeogenesis"	71	7	3.33	"0.02269"
"GO:0048286"	"lung alveolus development"	35	5	1.64	"0.02273"
"GO:0060021"	"roof of mouth development"	83	8	3.9	"0.02364"
"GO:0007026"	"negative regulation of microtubule depol..."	24	4	1.13	"0.02423"
"GO:0060997"	"dendritic spine morphogenesis"	61	8	2.87	"0.02517"
"GO:0006464"	"cellular protein modification process"	3474	180	163.17	"0.02532"
"GO:0000186"	"activation of MAPKK activity"	46	6	2.16	"0.02533"
"GO:0001709"	"cell fate determination"	36	5	1.69	"0.02541"
"GO:0006298"	"mismatch repair"	36	5	1.69	"0.02541"
"GO:0035067"	"negative regulation of histone acetylati..."	14	3	0.66	"0.02548"
"GO:0006103"	"2-oxoglutarate metabolic process"	14	3	0.66	"0.02548"
"GO:0060044"	"negative regulation of cardiac muscle ce..."	14	3	0.66	"0.02548"
"GO:0043931"	"ossification involved in bone maturation"	14	3	0.66	"0.02548"
"GO:0008360"	"regulation of cell shape"	136	12	6.39	"0.02635"
"GO:0043525"	"positive regulation of neuron apoptotic ..."	49	6	2.3	"0.02636"
"GO:0009890"	"negative regulation of biosynthetic proc..."	1362	85	63.97	"0.02725"
"GO:0007179"	"transforming growth factor beta receptor..."	173	14	8.13	"0.02729"
"GO:0048584"	"positive regulation of response to stimu..."	1754	102	82.39	"0.02732"
"GO:0048640"	"negative regulation of developmental gro..."	97	10	4.56	"0.02742"
"GO:0003407"	"neural retina development"	66	6	3.1	"0.02779"
"GO:0043552"	"positive regulation of phosphatidylinosi..."	25	4	1.17	"0.02780"
"GO:0042542"	"response to hydrogen peroxide"	118	11	5.54	"0.02791"
"GO:1990090"	"cellular response to nerve growth factor..."	48	7	2.25	"0.02803"
"GO:0007507"	"heart development"	489	38	22.97	"0.02836"
"GO:0051272"	"positive regulation of cellular componen..."	449	40	21.09	"0.02859"
"GO:0061098"	"positive regulation of protein tyrosine ..."	50	6	2.35	"0.02881"
"GO:0060306"	"regulation of membrane repolarization"	26	4	1.22	"0.02903"
"GO:2000171"	"negative regulation of dendrite developm..."	27	4	1.27	"0.02904"
"GO:0045621"	"positive regulation of lymphocyte differ..."	74	6	3.48	"0.02906"
"GO:0046463"	"acylglycerol biosynthetic process"	34	4	1.6	"0.02907"
"GO:0034205"	"amyloid-beta formation"	36	4	1.69	"0.02908"
"GO:0043903"	"regulation of symbiotic process"	188	11	8.83	"0.02909"
"GO:0051291"	"protein heterooligomerization"	20	3	0.94	"0.02910"
"GO:0042471"	"ear morphogenesis"	101	6	4.74	"0.02917"
"GO:0034381"	"plasma lipoprotein particle clearance"	38	3	1.78	"0.02917"
"GO:0071103"	"DNA conformation change"	248	8	11.65	"0.02961"
