pathway	pval	padj	ES	NES	nMoreExtreme	size	leadingEdge
HALLMARK_TNFA_SIGNALING_VIA_NFKB	0.211531694565928	0.287918139825846	0.200609461008851	1.19039555147942	4207	57	SLC16A6 KDM6B MCL1 SOD2 IL6ST ATP2B1 DUSP1 CEBPB GADD45A GEM SDC4 ZFP36 GCH1 RELA MAFF IER5 SIK1 B4GALT1 JUN
HALLMARK_HYPOXIA	0.00355239786856128	0.0193408328399447	0.276801146818992	1.76327519940797	63	75	ANGPTL4 MYH9 FOXO3 SLC2A1 ALDOA STC2 PRDX5 DDIT4 NCAN GPC1 DUSP1 SLC25A1 TPBG CHST2 SDC4 BCL2 P4HA2 AK4 DPYSL4 ZFP36 MAP3K1 PFKP MAFF GRHPR HSPA5 BGN JUN ETS1 TPI1 BHLHE40 NDST1 AKAP12 CCNG2 GYS1 GPI RRAGD
HALLMARK_CHOLESTEROL_HOMEOSTASIS	0.0198193677872554	0.0571264130338538	0.334438961481639	1.66909791042026	473	32	FAM129A GLDC ECH1 LGALS3 ACTG1 LGMN LPL TM7SF2 ATF5 NSDHL CD9 MAL2 PMVK
HALLMARK_MITOTIC_SPINDLE	5.43360139100196e-05	0.000676347173144876	0.36962386800803	2.32243883945419	0	71	MYH9 FLNA MAP1S FSCN1 ABL1 WASL BCL2L11 CSNK1D TAOK2 CDC42EP4 ARF6 TBCD MID1IP1 MYH10 ARHGDIA EZR RHOF YWHAE NOTCH2 NCK2 KIF3B ACTN4 SMC4 ABR LMNB1
HALLMARK_WNT_BETA_CATENIN_SIGNALING	0.139310935159427	0.235387442165928	0.349876131377314	1.34000122702569	3905	15	NKD1 AXIN2 NOTCH1 DLL1 AXIN1 TP53 CCND2
HALLMARK_TGF_BETA_SIGNALING	0.201471294961369	0.287918139825846	0.303066521277978	1.24134060702182	5449	18	ID3 ID1 SKI TJP1 ACVR1 TGFBR1 FURIN KLF10 FKBP1A
HALLMARK_IL6_JAK_STAT3_SIGNALING	0.544256326233388	0.555594999696583	0.230451197185761	0.925978946979642	14947	17	IL6ST PTPN11 ACVR1B CD9 JUN TNFRSF1A STAT3 IL1R1 IL17RB IFNAR1 MYD88
HALLMARK_DNA_REPAIR	0.442078402041445	0.47967704555846	0.191949936930214	1.01261443476331	10047	38	GPX4 HPRT1 RALA ARL6IP1 POLR2E RPA2 POLR2D SAC3D1 POLD1 TYMS SDCBP BCAP31 GUK1 NELFB TP53
HALLMARK_G2M_CHECKPOINT	5.43360139100196e-05	0.000676347173144876	0.365743892388193	2.29805998609657	0	71	ABL1 HMGN2 H2AFX SLC7A5 NUP50 EFNA5 TOP1 ILF3 NOTCH2 SMARCC1 CENPA SLC7A1 HNRNPU MCM3 CDC25A SMC4 TACC3 E2F3 RPA2 RAD21 LMNB1 UPF1 ATF5 MCM6 TFDP1 SYNCRIP ATRX H2AFZ CUL4A CHEK1 SLC12A2 CTCF RACGAP1 KIF5B HNRNPD CHAF1A TLE3 INCENP KIF20B NASP LBR MCM2 MKI67 SMC2 UCK2 NOLC1 MEIS2 MARCKS CDKN2C H2AFV NUMA1 UBE2S CDC6 DMD GINS2 TMPO DKC1 KIF4A GSPT1
HALLMARK_APOPTOSIS	0.000658728147960476	0.00537961320834389	0.335480485684383	2.01069570862192	12	59	KRT18 NEFH TGFB2 HSPB1 LGALS3 BCL2L11 H1F0 PSEN1 F2R MCL1 SOD2 GPX4 PPP3R1 PTK2 GADD45A GPX1 ERBB2 WEE1 GCH1 CYLD CASP3 RELA BCAP31 DAP PDCD4 BGN JUN
HALLMARK_NOTCH_SIGNALING	0.0335659574468085	0.0822365957446809	0.492050526566614	1.67084175648774	985	11	PSENEN NOTCH1 NOTCH3 DLL1 NOTCH2
HALLMARK_ADIPOGENESIS	0.0140571982549685	0.0459201809662304	0.256526231652898	1.60011478345344	260	69	ANGPTL4 MDH2 ECH1 ESRRA ALDOA APOE GPX4 ATP1B3 LPL SLC25A1 GADD45A CD302 TALDO1 ACLY CHCHD10 ACOX1 ACO2 CD151 SOWAHC GPAM SDHC PDCD4 NDUFB7 ARAF CCNG2 COX8A SOD1 DNAJC15 TST PQLC3 ESYT1 AIFM1 POR HADH ACAA2
HALLMARK_ESTROGEN_RESPONSE_EARLY	0.00638321492007105	0.0260647942569568	0.266090654313198	1.69504735416259	114	75	AR KRT18 KRT8 ZNF185 KDM4B SLC26A2 SLC2A1 OPN3 STC2 GJA1 SLC7A5 SLC22A5 IL6ST ADD3 PPIF TPBG BCL11B BCL2 SVIL MYOF RBBP8 UNC119 ELOVL5 ASB13 WWC1 B4GALT1 AMFR ESRP2 FKBP5 AFF1 BHLHE40 BLVRB ADCY9 KLF10 NRIP1 MPPED2 ABHD2 SEC14L2
