"GO.ID"	"Term"	"Annotated"	"Significant"	"Expected"	"Statistics"
"GO:0030199"	"collagen fibril organization"	47	13	1.45	"1.0e-09"
"GO:0001580"	"detection of chemical stimulus involved ..."	16	6	0.49	"5.1e-06"
"GO:0007605"	"sensory perception of sound"	116	13	3.58	"5.8e-05"
"GO:0030198"	"extracellular matrix organization"	314	34	9.68	"8.3e-05"
"GO:0007160"	"cell-matrix adhesion"	185	20	5.7	"0.00016"
"GO:0031290"	"retinal ganglion cell axon guidance"	19	5	0.59	"0.00022"
"GO:0043588"	"skin development"	198	18	6.1	"0.00049"
"GO:0086010"	"membrane depolarization during action po..."	33	6	1.02	"0.00050"
"GO:0034765"	"regulation of ion transmembrane transpor..."	380	29	11.72	"0.00076"
"GO:0001666"	"response to hypoxia"	305	15	9.4	"0.00088"
"GO:0099171"	"presynaptic modulation of chemical synap..."	15	4	0.46	"0.00093"
"GO:0001502"	"cartilage condensation"	16	4	0.49	"0.00121"
"GO:0051962"	"positive regulation of nervous system de..."	485	28	14.95	"0.00134"
"GO:0006836"	"neurotransmitter transport"	210	16	6.47	"0.00145"
"GO:0051216"	"cartilage development"	153	20	4.72	"0.00148"
"GO:0003198"	"epithelial to mesenchymal transition inv..."	17	4	0.52	"0.00154"
"GO:0007422"	"peripheral nervous system development"	65	6	2	"0.00175"
"GO:0030326"	"embryonic limb morphogenesis"	103	7	3.18	"0.00176"
"GO:0045766"	"positive regulation of angiogenesis"	126	10	3.88	"0.00209"
"GO:0010718"	"positive regulation of epithelial to mes..."	44	6	1.36	"0.00217"
"GO:0018149"	"peptide cross-linking"	19	4	0.59	"0.00239"
"GO:0035195"	"gene silencing by miRNA"	122	7	3.76	"0.00239"
"GO:0071230"	"cellular response to amino acid stimulus"	62	7	1.91	"0.00287"
"GO:0010894"	"negative regulation of steroid biosynthe..."	20	4	0.62	"0.00291"
"GO:0021871"	"forebrain regionalization"	21	4	0.65	"0.00296"
"GO:0045684"	"positive regulation of epidermis develop..."	27	4	0.83	"0.00296"
