"","logFC.EXPO1X","logFC.EXPO1000X","FDR"
"CCDC136",-0.390163820634222,-0.512032924420048,0.000115652320415034
"ARMCX4",-0.541263716045507,-0.595561456926151,0.000117081046024042
"NEFL",0.17224824561444,-0.674960373302713,0.000117081046024042
"CALB2",-0.00446255864007065,-1.26001199223954,0.000203270232213033
"NRBP2",-0.503750158185751,-0.485009121865089,0.000203270232213033
"TMEFF2",0.206760228888835,-0.602794875386714,0.000224932094635943
"COL16A1",-0.351160445181752,-1.60459499895255,0.000302114510590987
"ANGPTL4",-0.195872056385937,0.607589383686611,0.000318287328206541
"GLYCTK",-0.562165613177689,-0.607612845073322,0.000323985735078871
"WSB1",-0.562357615857009,-0.464497280436176,0.000365068056502048
"ADAM11",-0.314349777108543,-0.748448016159188,0.000365068056502048
"PHGDH",0.338810620038813,0.531806914844318,0.000365068056502048
"AR",0.382061409731406,-0.100862342985802,0.000408697952222762
"COL3A1",-0.356264282295414,-2.47024630242563,0.000485604023406727
"MAP1S",0.476834332563447,0.616833086919475,0.000528217557308281
"COL12A1",-0.57706816998572,-2.00465748908153,0.000528217557308281
"EDNRA",-0.183450995287246,-1.51644564860499,0.000534755878262269
"SP5",0.942261223074879,0.590563188917822,0.000534755878262269
"GOLGA8B",-0.487325847839458,-0.59904953777438,0.000534755878262269
"FSD2",-0.483127665684022,-0.768742720144878,0.000574804829851546
"PCDH9",-0.353296480738318,-0.51191575411164,0.00061209823772461
"ADAM12",-0.453247734523945,-1.13190117882912,0.000626329044586337
"COL1A2",-0.311737572443864,-2.21440519556264,0.000657612606998377
"GOLGA8A",-0.425477365404927,-0.54247695500467,0.00079778918084412
"H1FX",0.439168600824731,0.518360863417708,0.00082138809680567
"SLC16A6",-0.241301797419799,0.575115807372489,0.000840179899651478
"POSTN",-0.627172375605265,-2.49397346590605,0.000993791241006692
"ADAM21",-0.921885099340767,-1.19912864189894,0.00103269316847712
"COL6A3",0.172415897977239,-1.57403081976256,0.00105517374919419
"KRT18",0.20628226706473,0.588369305254206,0.00106699356104667
"SERPINB9",0.0869893507823516,-0.885797797329849,0.00106699356104667
"TENM3",0.569718274734729,0.436667973713896,0.00107252297327375
"TVP23C",-0.436529567710279,-0.585240766265119,0.00113639995561922
"PTGES",-0.415166087844605,-0.705848071889705,0.00119324661289048
"RAD52",-0.507115016201463,-0.469424028605952,0.00127908238295485
"TP73",-0.251723484815689,0.217289168073896,0.00130440556755736
"FOXO3",0.267809109723838,0.186411248646459,0.00134154704068129
"PRPH",0.0519558369991937,-0.952367580538563,0.00141749757330694
"GPNMB",-0.228699922377794,0.564383590622833,0.00141749757330694
"COX7B",-0.413426254745475,-0.369954768688896,0.00141749757330694
"SPARCL1",0.285177702547413,-0.594964701334972,0.00144282402790166
"CTSK",-0.300072207223094,-0.777062900256378,0.00146248596828294
"SLC35F2",0.792904202481192,0.283140192749014,0.00150310843640361
"EFNB3",-0.13030254509344,-0.546455265587588,0.0015174870250371
"COL1A1",-0.277380167526793,-1.93311597902027,0.00152236339043835
"LUM",-0.507439692338041,-1.44119271180729,0.00153913915653368
"EMILIN1",0.32072501668959,-0.930676594908432,0.00157867400664463
"ST8SIA3",0.135169044506443,-0.573175640001779,0.00164487997582941
"TH",0.317341827487182,-0.566752171147801,0.00164487997582941
"KRT8",0.401864564697718,0.719044774381668,0.00164487997582941
"PLCE1",-0.532537814382793,0.0862193511865873,0.00164879395586794
"NEGR1",-0.0435226180913717,-0.542190550590349,0.00164879395586794
"CPED1",-0.372960059893656,-2.29379053622183,0.00172342996034594
"PODXL",-0.562134859117822,-0.0623724796072927,0.00172956086444894
"ONECUT2",0.0244117355028685,-0.639925659232928,0.00175934849593666
"STMN2",-0.261519673648326,-0.504050013188064,0.00176502660369358
"GREM1",-0.166163090941713,-1.83763548416877,0.0018709763968082
"TRIL",0.850296660742963,0.23815344476355,0.00187818503848571
"PROM2",-0.483278595216333,-0.548104224819031,0.00194806712180685
"PDZD7",-0.419010933198252,-0.893453277672234,0.00198135890545229
"SPHKAP",-0.170851943788246,-1.50048676997207,0.00223279089791041
"HRC",-0.877256639233387,-1.18501646809886,0.00246176936126513
"SOX10",-0.711143777154578,-1.40890034865538,0.00253024755554853
"TGFB2",0.666073998084611,0.538769869796921,0.0027001940758856
"HSPB1",0.22004178138249,0.510704373200371,0.00270028914780575
"CYP3A5",-0.463904334362745,-0.993190361456499,0.0027106928549217
"SAT1",-0.689759857996422,-0.218655655903328,0.00273697767710921
"SLC6A1",-0.210675339002939,-0.578226378950014,0.002909871861664
"MAP3K5",-0.00902271615123331,-0.541480651294212,0.00300018337996996
"CRYAB",0.138472226433233,0.707235044737769,0.00309263272499865
"LGALS3",-0.128899387801997,0.609277304948183,0.00309263272499865
"NEIL1",-0.133000476697795,-0.530218094983513,0.00309263272499865
"COL9A2",0.695062143900674,0.56945826193145,0.00328019970215548
"C1QTNF7",-0.781850005964527,-1.01474193650497,0.00334633238570132
"C4orf19",0.0374948774273088,0.622008458332561,0.00345485450179155
"EBF1",-0.0944789048831607,-0.594415264694554,0.0034617692200074
"CEL",-0.842467761686196,-0.295625072796856,0.0035486128610924
"TRIM22",-0.689264518978677,-0.180216890007373,0.00357664318430071
"ACAN",0.107609038310562,-1.5125853008852,0.00360745060998848
"KCNMA1",-0.658191306277336,-0.33457105881181,0.00365416453688898
"COL5A2",-0.137192140510986,-0.550423310552157,0.00375844717091622
"H1F0",0.362721867589925,0.755919131938467,0.00419545106504913
"DNM3OS",-0.650637518147545,-1.12271818090213,0.00446470312361637
"CBLN2",-0.0420123053469026,-0.56658907262171,0.00448649464565417
"NR6A1",-0.248525302392695,-0.580927597128913,0.00459098859703784
"ESRRA",0.198367347558817,0.484018034611833,0.00470250825474007
"RPS15A",-0.318815835247253,-0.228663204982052,0.00517814756164758
"DPYD",-0.419650915779804,-0.591270834998584,0.00525812971900212
"FBLN5",0.0120755039420293,0.545254432997139,0.00539223729776914
"PAPPA",-0.476281992688163,-0.721919035467522,0.00549307939186351
"COL14A1",-0.415281403337354,-1.42816604579296,0.00549307939186351
"SLC8A1",-0.584869014541011,-0.0984835120269058,0.00583628399148514
"APOE",0.479960059456929,0.70051114421665,0.0059439092813967
"EBLN2",-0.596544403519355,-0.566983175159947,0.00597289294055474
"SLC5A7",-0.708741463265673,-2.17656473762325,0.00609397357273369
