"","Gene","Pathway","Function","logFC.EXPO1X","logFC.EXPO1000X","FDR"
"1","A1BG","Estrogen","DEG",0.27037138246693,0.355094132946168,0.139810374255503
"2","A1BG","Thyroid","DEG",0.27037138246693,0.355094132946168,0.139810374255503
"3","ABCB1","Thyroid","DEG",0.135856985129205,0.0894094133458125,0.898799528097719
"4","ABCB1","Progesterone","DEG",0.135856985129205,0.0894094133458125,0.898799528097719
"5","ABCC9","Estrogen","DEG",-0.403909464484482,-0.502715872065733,0.0184806623276838
"6","ABCG1","Estrogen","DEG",-0.0202325000239512,0.06093500261999,0.702181584698148
"7","ABCG1","Thyroid","DEG",-0.0202325000239512,0.06093500261999,0.702181584698148
"8","ABCG1","Progesterone","DEG",-0.0202325000239512,0.06093500261999,0.702181584698148
"9","ABCG1","Androgen","DEG",-0.0202325000239512,0.06093500261999,0.702181584698148
"10","ABCG1","Corticoid","DEG",-0.0202325000239512,0.06093500261999,0.702181584698148
"11","ABCG1","PPAR","DEG",-0.0202325000239512,0.06093500261999,0.702181584698148
"12","ABLIM3","Androgen","DEG",-0.218519798686307,-0.525698080023211,0.0120667406550169
"13","ABLIM3","Estrogen","DEG",-0.218519798686307,-0.525698080023211,0.0120667406550169
"14","ACAN","PPAR","DEG",0.107609038310562,-1.5125853008852,0.00360745060998848
"15","ACRBP","Thyroid","DEG",-0.463221498139088,-0.777316533008405,0.0113367525386081
"16","ACTN2","Androgen","DEG",-0.454784701751081,-0.689801484576385,0.0378309269223369
"17","ADAM11","PPAR","DEG",-0.314349777108543,-0.748448016159188,0.000365068056502048
"18","ADAM11","Estrogen","DEG",-0.314349777108543,-0.748448016159188,0.000365068056502048
"19","ADAM11","Thyroid","DEG",-0.314349777108543,-0.748448016159188,0.000365068056502048
"20","ADAM12","Thyroid","DEG",-0.453247734523945,-1.13190117882912,0.000626329044586337
"21","ADAM20","Androgen","DEG",-0.680251683339829,-0.727917387697188,0.0143396356171099
"22","ADAM21","Androgen","DEG",-0.921885099340767,-1.19912864189894,0.00103269316847712
"23","ADGRL2","Estrogen","DEG",-0.0298275939718595,-0.604584580097358,0.00629381287410503
"24","ADGRL2","Retinoic","DEG",-0.0298275939718595,-0.604584580097358,0.00629381287410503
"25","ADGRL2","Corticoid","DEG",-0.0298275939718595,-0.604584580097358,0.00629381287410503
"26","ADGRL2","Thyroid","DEG",-0.0298275939718595,-0.604584580097358,0.00629381287410503
"27","AFAP1L2","Thyroid","DEG",0.292560379948256,-0.117650431004586,0.1015034944171
"28","AFAP1L2","Estrogen","DEG",0.292560379948256,-0.117650431004586,0.1015034944171
"29","AFAP1L2","PPAR","DEG",0.292560379948256,-0.117650431004586,0.1015034944171
"30","AKR1C2","Progesterone","DEG",-0.345391449967661,-0.583948903261972,0.0290154001636307
"31","AKR1C2","Androgen","DEG",-0.345391449967661,-0.583948903261972,0.0290154001636307
"32","ALS2CL","PPAR","DEG",-0.126959808827647,-0.352257852399043,0.141970052946522
"33","ALS2CL","Thyroid","DEG",-0.126959808827647,-0.352257852399043,0.141970052946522
"34","ANGPTL4","Corticoid","DEG",-0.195872056385937,0.607589383686611,0.000318287328206541
"35","ANGPTL4","PPAR","DEG",-0.195872056385937,0.607589383686611,0.000318287328206541
"36","ANGPTL4","Estrogen","DEG",-0.195872056385937,0.607589383686611,0.000318287328206541
"37","ANGPTL4","Thyroid","DEG",-0.195872056385937,0.607589383686611,0.000318287328206541
"38","ANKRD37","Estrogen","DEG",0.111606838644086,0.537055120560275,0.0278612170125493
"39","ANKRD37","Androgen","DEG",0.111606838644086,0.537055120560275,0.0278612170125493
"40","APOBEC2","Thyroid","DEG",-0.585092468553657,-0.710182021067935,0.0158417080342668
"41","APOE","Estrogen","DEG",0.479960059456929,0.70051114421665,0.0059439092813967
"42","APOE","Progesterone","DEG",0.479960059456929,0.70051114421665,0.0059439092813967
"43","APOE","Thyroid","DEG",0.479960059456929,0.70051114421665,0.0059439092813967
"44","APOE","PPAR","DEG",0.479960059456929,0.70051114421665,0.0059439092813967
"45","APOE","Retinoic","DEG",0.479960059456929,0.70051114421665,0.0059439092813967
"46","AR","Androgen","PsychencodeTF",0.382061409731406,-0.100862342985802,0.000408697952222762
"47","AR","Thyroid","PsychencodeTF",0.382061409731406,-0.100862342985802,0.000408697952222762
"48","AR","Estrogen","PsychencodeTF",0.382061409731406,-0.100862342985802,0.000408697952222762
"49","AR","Progesterone","PsychencodeTF",0.382061409731406,-0.100862342985802,0.000408697952222762
"50","ARID5B","Thyroid","PsychencodeTF",-0.160047172489159,0.0602731344640798,0.0662656318250569
"51","ARID5B","Corticoid","PsychencodeTF",-0.160047172489159,0.0602731344640798,0.0662656318250569
"52","ARID5B","PPAR","PsychencodeTF",-0.160047172489159,0.0602731344640798,0.0662656318250569
"53","ARID5B","Androgen","PsychencodeTF",-0.160047172489159,0.0602731344640798,0.0662656318250569
"54","ARID5B","Estrogen","PsychencodeTF",-0.160047172489159,0.0602731344640798,0.0662656318250569
"55","ARMCX4","Thyroid","DEG",-0.541263716045507,-0.595561456926151,0.000117081046024042
"56","ARNT2","Progesterone","PsychencodeTF",0.196113227514918,0.212381495046142,0.0224030541508607
"57","ARNT2","Estrogen","PsychencodeTF",0.196113227514918,0.212381495046142,0.0224030541508607
"58","ARNT2","Thyroid","PsychencodeTF",0.196113227514918,0.212381495046142,0.0224030541508607
"59","ARNT2","PPAR","PsychencodeTF",0.196113227514918,0.212381495046142,0.0224030541508607
"60","ARNTL","Androgen","PsychencodeTF",-0.0797387787214474,-0.196112877945694,0.227737278391561
"61","ARNTL","PPAR","PsychencodeTF",-0.0797387787214474,-0.196112877945694,0.227737278391561
"62","ARNTL","Estrogen","PsychencodeTF",-0.0797387787214474,-0.196112877945694,0.227737278391561
"63","ARNTL","Progesterone","PsychencodeTF",-0.0797387787214474,-0.196112877945694,0.227737278391561
"64","ARNTL","Corticoid","PsychencodeTF",-0.0797387787214474,-0.196112877945694,0.227737278391561
"65","ARNTL","Thyroid","PsychencodeTF",-0.0797387787214474,-0.196112877945694,0.227737278391561
"66","ARPP21","Estrogen","DEG",-0.374848983800243,-0.806378752854424,0.0198129271855625
"67","ATF5","Thyroid","PsychencodeTF",-0.00799578200739643,0.386456761534288,0.0325992578694302
"68","ATF5","Retinoic","PsychencodeTF",-0.00799578200739643,0.386456761534288,0.0325992578694302
"69","ATF5","Estrogen","PsychencodeTF",-0.00799578200739643,0.386456761534288,0.0325992578694302
"70","ATF5","Corticoid","PsychencodeTF",-0.00799578200739643,0.386456761534288,0.0325992578694302
"71","ATF5","PPAR","PsychencodeTF",-0.00799578200739643,0.386456761534288,0.0325992578694302
"72","ATG9B","PPAR","DEG",-0.549169640341461,-0.0904593331446291,0.0397295726220233
"73","ATG9B","Thyroid","DEG",-0.549169640341461,-0.0904593331446291,0.0397295726220233
"74","BCAT1","Progesterone","DEG",-0.0561520093184085,0.15788244479958,0.0602591357092784
"75","BCL11B","Estrogen","PsychencodeTF",0.302632587606205,0.358690507925577,0.0168330490287992
"76","BCL6","Progesterone","PsychencodeTF",-0.0442185128121117,-0.0140520809574719,0.924192719116034
"77","BCL6","Thyroid","PsychencodeTF",-0.0442185128121117,-0.0140520809574719,0.924192719116034
"78","BCL6","PPAR","PsychencodeTF",-0.0442185128121117,-0.0140520809574719,0.924192719116034
"79","BCO1","Thyroid","DEG",-0.117743368060145,0.549212553088567,0.0329167482637771
"80","BEAN1","Estrogen","DEG",-0.494740571201158,-0.692416386587935,0.0136364924143463
"81","BGN","Thyroid","DEG",0.522504334339862,-0.146251504126308,0.0539465124030125
"82","BGN","PPAR","DEG",0.522504334339862,-0.146251504126308,0.0539465124030125
"83","BGN","Progesterone","DEG",0.522504334339862,-0.146251504126308,0.0539465124030125
