"","Gene","Function","logFC.EXPO1X","logFC.EXPO1000X","FDR","NDD","Thyroid","Estrogen","PPAR","Progesterone","Androgen","Retinoic","Corticoid"
"ABCC9","ABCC9","DEG",-0.403909464484482,-0.502715872065733,0.0184806623276838,"NO","NO","Estrogen","NO","NO","NO","NO","NO"
"ABLIM3","ABLIM3","DEG",-0.218519798686307,-0.525698080023211,0.0120667406550169,"NO","NO","Estrogen","NO","NO","Androgen","NO","NO"
"ACAN","ACAN","DEG",0.107609038310562,-1.5125853008852,0.00360745060998848,"NO","NO","NO","PPAR","NO","NO","NO","NO"
"ACRBP","ACRBP","DEG",-0.463221498139088,-0.777316533008405,0.0113367525386081,"NO","Thyroid","NO","NO","NO","NO","NO","NO"
"ACTN2","ACTN2","DEG",-0.454784701751081,-0.689801484576385,0.0378309269223369,"NO","NO","NO","NO","NO","Androgen","NO","NO"
"ADAM11","ADAM11","DEG",-0.314349777108543,-0.748448016159188,0.000365068056502048,"NO","Thyroid","Estrogen","PPAR","NO","NO","NO","NO"
"ADAM12","ADAM12","DEG",-0.453247734523945,-1.13190117882912,0.000626329044586337,"NO","Thyroid","NO","NO","NO","NO","NO","NO"
"ADAM20","ADAM20","DEG",-0.680251683339829,-0.727917387697188,0.0143396356171099,"NO","NO","NO","NO","NO","Androgen","NO","NO"
"ADAM21","ADAM21","DEG",-0.921885099340767,-1.19912864189894,0.00103269316847712,"NO","NO","NO","NO","NO","Androgen","NO","NO"
"ADGRL2","ADGRL2","DEG",-0.0298275939718595,-0.604584580097358,0.00629381287410503,"YES","Thyroid","Estrogen","NO","NO","NO","Retinoic","Corticoid"
"AKR1C2","AKR1C2","DEG",-0.345391449967661,-0.583948903261972,0.0290154001636307,"NO","NO","NO","NO","Progesterone","Androgen","NO","NO"
"ANGPTL4","ANGPTL4","DEG",-0.195872056385937,0.607589383686611,0.000318287328206541,"NO","Thyroid","Estrogen","PPAR","NO","NO","NO","Corticoid"
"ANKRD37","ANKRD37","DEG",0.111606838644086,0.537055120560275,0.0278612170125493,"NO","NO","Estrogen","NO","NO","Androgen","NO","NO"
"APOBEC2","APOBEC2","DEG",-0.585092468553657,-0.710182021067935,0.0158417080342668,"NO","Thyroid","NO","NO","NO","NO","NO","NO"
"APOE","APOE","DEG",0.479960059456929,0.70051114421665,0.0059439092813967,"NO","Thyroid","Estrogen","PPAR","Progesterone","NO","Retinoic","NO"
"AR","AR","PsychencodeTF",0.382061409731406,-0.100862342985802,0.000408697952222762,"YES","Thyroid","Estrogen","NO","Progesterone","Androgen","NO","NO"
"ARMCX4","ARMCX4","DEG",-0.541263716045507,-0.595561456926151,0.000117081046024042,"NO","Thyroid","NO","NO","NO","NO","NO","NO"
"ARNT2","ARNT2","PsychencodeTF",0.196113227514918,0.212381495046142,0.0224030541508607,"YES","Thyroid","Estrogen","PPAR","Progesterone","NO","NO","NO"
"ARPP21","ARPP21","DEG",-0.374848983800243,-0.806378752854424,0.0198129271855625,"NO","NO","Estrogen","NO","NO","NO","NO","NO"
"ATF5","ATF5","PsychencodeTF",-0.00799578200739643,0.386456761534288,0.0325992578694302,"NO","Thyroid","Estrogen","PPAR","NO","NO","Retinoic","Corticoid"
"ATG9B","ATG9B","DEG",-0.549169640341461,-0.0904593331446291,0.0397295726220233,"NO","Thyroid","NO","PPAR","NO","NO","NO","NO"
"BCL11B","BCL11B","PsychencodeTF",0.302632587606205,0.358690507925577,0.0168330490287992,"YES","NO","Estrogen","NO","NO","NO","NO","NO"
"BCO1","BCO1","DEG",-0.117743368060145,0.549212553088567,0.0329167482637771,"NO","Thyroid","NO","NO","NO","NO","NO","NO"
"BEAN1","BEAN1","DEG",-0.494740571201158,-0.692416386587935,0.0136364924143463,"NO","NO","Estrogen","NO","NO","NO","NO","NO"
"BMPER","BMPER","DEG",-0.170773830641646,-1.00046712374517,0.0337769482573724,"NO","Thyroid","Estrogen","NO","NO","NO","Retinoic","NO"
"BNC2","BNC2","DEG",-0.162343361306179,-0.997317188949141,0.00743214564780831,"NO","NO","NO","NO","NO","Androgen","NO","NO"
"BRD3","BRD3","DEG",0.492718962897705,0.589662449173081,0.0152055342752791,"NO","NO","NO","PPAR","NO","NO","NO","Corticoid"
"BRINP3","BRINP3","DEG",-0.880345467969379,-0.313432903090704,0.042266792805655,"YES","NO","NO","NO","NO","NO","Retinoic","NO"
"C1QTNF7","C1QTNF7","DEG",-0.781850005964527,-1.01474193650497,0.00334633238570132,"NO","Thyroid","NO","NO","NO","NO","NO","NO"
"C4orf19","C4orf19","DEG",0.0374948774273088,0.622008458332561,0.00345485450179155,"NO","Thyroid","NO","NO","NO","Androgen","NO","NO"
"C4orf48","C4orf48","DEG",1.00296175477924,1.13868814058214,0.0221409206971639,"NO","Thyroid","NO","NO","Progesterone","NO","NO","NO"
"CA13","CA13","DEG",-0.330024624990828,-0.590366492756576,0.0287009687999792,"NO","Thyroid","NO","NO","NO","NO","NO","NO"
"CALB1","CALB1","DEG",0.615933590365786,0.259355927342253,0.0124797794290657,"NO","NO","Estrogen","NO","Progesterone","NO","NO","NO"
"CALB2","CALB2","DEG",-0.00446255864007065,-1.26001199223954,0.000203270232213033,"NO","NO","Estrogen","NO","NO","NO","NO","NO"
"CBLN2","CBLN2","DEG",-0.0420123053469026,-0.56658907262171,0.00448649464565417,"NO","Thyroid","NO","NO","NO","NO","NO","NO"
"CCDC124","CCDC124","DEG",0.420711536468938,0.535296957996334,0.0185342185483846,"NO","Thyroid","NO","PPAR","NO","NO","NO","NO"
"CCDC136","CCDC136","DEG",-0.390163820634222,-0.512032924420048,0.000115652320415034,"NO","Thyroid","NO","NO","NO","NO","NO","NO"
"CCDC170","CCDC170","DEG",0.074931265651624,0.76570011117157,0.034593319586132,"NO","NO","NO","PPAR","NO","NO","NO","NO"
"CCDC85B","CCDC85B","DEG",0.98394542808839,1.02977125591527,0.0103853940831626,"NO","Thyroid","Estrogen","PPAR","NO","NO","NO","NO"
"CCDC86","CCDC86","DEG",0.289129013881499,0.54230868306167,0.0159389529439372,"NO","Thyroid","Estrogen","NO","Progesterone","Androgen","NO","Corticoid"
"CEBPB","CEBPB","PsychencodeTF&DEG",0.59112746171814,0.580468031493807,0.0175515259034779,"NO","Thyroid","Estrogen","PPAR","Progesterone","Androgen","Retinoic","Corticoid"
"CEL","CEL","DEG",-0.842467761686196,-0.295625072796856,0.0035486128610924,"NO","Thyroid","Estrogen","NO","NO","NO","NO","NO"
