"","Gene","Pathway","Function","logFC.EXPO1X","logFC.EXPO1000X","FDR","NDD"
"5","ABCC9","Estrogen","DEG",-0.403909464484482,-0.502715872065733,0.0184806623276838,"NO"
"11","ABLIM3","Androgen","DEG",-0.218519798686307,-0.525698080023211,0.0120667406550169,"NO"
"12","ABLIM3","Estrogen","DEG",-0.218519798686307,-0.525698080023211,0.0120667406550169,"NO"
"13","ACRBP","Thyroid","DEG",-0.463221498139088,-0.777316533008405,0.0113367525386081,"NO"
"14","ACTN2","Androgen","DEG",-0.454784701751081,-0.689801484576385,0.0378309269223369,"NO"
"15","ADAM11","Estrogen","DEG",-0.314349777108543,-0.748448016159188,0.000365068056502048,"NO"
"16","ADAM11","PPAR","DEG",-0.314349777108543,-0.748448016159188,0.000365068056502048,"NO"
"17","ADAM11","Thyroid","DEG",-0.314349777108543,-0.748448016159188,0.000365068056502048,"NO"
"18","ADAM12","Thyroid","DEG",-0.453247734523945,-1.13190117882912,0.000626329044586337,"NO"
"19","ADAM20","Androgen","DEG",-0.680251683339829,-0.727917387697188,0.0143396356171099,"NO"
"20","ADAM21","Androgen","DEG",-0.921885099340767,-1.19912864189894,0.00103269316847712,"NO"
"21","ADGRL2","Retinoic","DEG",-0.0298275939718595,-0.604584580097358,0.00629381287410503,"YES"
"22","ADGRL2","Estrogen","DEG",-0.0298275939718595,-0.604584580097358,0.00629381287410503,"YES"
"23","ADGRL2","Thyroid","DEG",-0.0298275939718595,-0.604584580097358,0.00629381287410503,"YES"
"24","ADGRL2","Corticoid","DEG",-0.0298275939718595,-0.604584580097358,0.00629381287410503,"YES"
"28","AKR1C2","Androgen","DEG",-0.345391449967661,-0.583948903261972,0.0290154001636307,"NO"
"29","AKR1C2","Progesterone","DEG",-0.345391449967661,-0.583948903261972,0.0290154001636307,"NO"
"31","ANGPTL4","Thyroid","DEG",-0.195872056385937,0.607589383686611,0.000318287328206541,"NO"
"32","ANGPTL4","PPAR","DEG",-0.195872056385937,0.607589383686611,0.000318287328206541,"NO"
"33","ANGPTL4","Corticoid","DEG",-0.195872056385937,0.607589383686611,0.000318287328206541,"NO"
"34","ANGPTL4","Estrogen","DEG",-0.195872056385937,0.607589383686611,0.000318287328206541,"NO"
"35","ANKRD37","Androgen","DEG",0.111606838644086,0.537055120560275,0.0278612170125493,"NO"
"36","ANKRD37","Estrogen","DEG",0.111606838644086,0.537055120560275,0.0278612170125493,"NO"
"37","APOBEC2","Thyroid","DEG",-0.585092468553657,-0.710182021067935,0.0158417080342668,"NO"
"38","APOE","PPAR","DEG",0.479960059456929,0.70051114421665,0.0059439092813967,"NO"
"39","APOE","Estrogen","DEG",0.479960059456929,0.70051114421665,0.0059439092813967,"NO"
"40","APOE","Retinoic","DEG",0.479960059456929,0.70051114421665,0.0059439092813967,"NO"
"41","APOE","Progesterone","DEG",0.479960059456929,0.70051114421665,0.0059439092813967,"NO"
"42","AR","Androgen","PsychencodeTF",0.382061409731406,-0.100862342985802,0.000408697952222762,"YES"
"43","AR","Progesterone","PsychencodeTF",0.382061409731406,-0.100862342985802,0.000408697952222762,"YES"
"44","AR","Thyroid","PsychencodeTF",0.382061409731406,-0.100862342985802,0.000408697952222762,"YES"
"45","AR","Estrogen","PsychencodeTF",0.382061409731406,-0.100862342985802,0.000408697952222762,"YES"
"51","ARMCX4","Thyroid","DEG",-0.541263716045507,-0.595561456926151,0.000117081046024042,"NO"
"52","ARNT2","Estrogen","PsychencodeTF",0.196113227514918,0.212381495046142,0.0224030541508607,"YES"
"53","ARNT2","Progesterone","PsychencodeTF",0.196113227514918,0.212381495046142,0.0224030541508607,"YES"
"59","ARPP21","Estrogen","DEG",-0.374848983800243,-0.806378752854424,0.0198129271855625,"NO"
