"","x"
"1","NRP1"
"2","IMMP1L"
"3","ABCG1"
"4","EIF5B"
"5","UPF3B"
"6","DHRS3"
"7","RAB20"
"8","CAPG"
"9","SMOC2"
"10","KCNJ2"
"11","PPARGC1A"
"12","NRBP2"
"13","TMEFF2"
"14","WSB1"
"15","ADAM21"
"16","CTSK"
"17","EFNB3"
"18","LUM"
"19","KRT8"
"20","HSPB1"
"21","SAT1"
"22","CRYAB"
"23","LGALS3"
"24","C4orf19"
"25","DDIT4L"
"26","TAC3"
"27","BNC2"
"28","HES6"
"29","PLIN4"
"30","H2AFX"
"31","PLXND1"
"32","ID1"
"33","RIBC2"
"34","ABLIM3"
"35","MGP"
"36","ADAM20"
"37","FAM107A"
"38","FHDC1"
"39","CCDC86"
"40","CEBPB"
"41","DKKL1"
"42","TSNAXIP1"
"43","INE1"
"44","FBLN1"
"45","ANKRD37"
"46","AKR1C2"
"47","LSM10"
"48","TACC3"
"49","THBS1"
"50","LGALS1"
"51","IFIT2"
"52","RGS10"
"53","DMRT3"
"54","ACTN2"
"55","CRISPLD2"
"56","NEAT1"
"57","SCIN"
"58","FOXP2"
