"","x"
"1","NRP1"
"2","RPL27"
"3","LPL"
"4","SERPINF1"
"5","ABCG1"
"6","LOX"
"7","ICAM1"
"8","TPRKB"
"9","OTX2"
"10","NCL"
"11","BMP2"
"12","DHRS3"
"13","CAPG"
"14","RAB13"
"15","NEFL"
"16","NRBP2"
"17","ANGPTL4"
"18","SLC16A6"
"19","KRT18"
"20","PRPH"
"21","COL1A1"
"22","TH"
"23","KRT8"
"24","HSPB1"
"25","SAT1"
"26","MAP3K5"
"27","CRYAB"
"28","H1F0"
"29","PAPPA"
"30","ID3"
"31","ADGRL2"
"32","COL18A1"
"33","TTYH3"
"34","HES6"
"35","S1PR3"
"36","PLIN4"
"37","RABAC1"
"38","H2AFX"
"39","ID1"
"40","FAM107A"
"41","BRD3"
"42","FHDC1"
"43","CCDC86"
"44","CEBPB"
"45","TM4SF1"
"46","ISL1"
"47","CSAD"
"48","LSM10"
"49","TACC3"
"50","RGS10"
"51","CRISPLD2"
"52","TYMS"
"53","GRB14"
"54","ENG"
