"","x"
"1","CD74"
"2","CPT1A"
"3","SNRPG"
"4","COX7B"
"5","LPL"
"6","LOX"
"7","ITGA1"
"8","H19"
"9","MFAP2"
"10","UPF3B"
"11","DHRS3"
"12","PRELID2"
"13","APOE"
"14","SKAP2"
"15","AFAP1L2"
"16","REEP6"
"17","SPON2"
"18","NRBP2"
"19","ANGPTL4"
"20","GLYCTK"
"21","ADAM11"
"22","SLC16A6"
"23","GPNMB"
"24","CTSK"
"25","KRT8"
"26","HSPB1"
"27","CRYAB"
"28","H1F0"
"29","ID3"
"30","COL18A1"
"31","HES6"
"32","PLIN4"
"33","NQO1"
"34","RABAC1"
"35","PKMYT1"
"36","ID1"
"37","SNAI1"
"38","MGP"
"39","BRD3"
"40","MYRF"
"41","CEBPB"
"42","DNAJA4"
"43","RHOF"
"44","CCDC124"
"45","SEMA3A"
"46","CSAD"
"47","LGALS1"
"48","CXCL12"
"49","RGS10"
"50","CRISPLD2"
"51","TYMS"
"52","GRB14"
