"","x"
"1","CD74"
"2","CPT1A"
"3","SNRPG"
"4","COX7B"
"5","LPL"
"6","LGI4"
"7","LOX"
"8","ITGA1"
"9","LGALS12"
"10","ALS2CL"
"11","H19"
"12","HIST2H3A"
"13","MFAP2"
"14","UPF3B"
"15","DHRS3"
"16","PRELID2"
"17","APOE"
"18","SKAP2"
"19","AFAP1L2"
"20","REEP6"
"21","PPARGC1A"
"22","SPON2"
"23","NRBP2"
"24","ANGPTL4"
"25","GLYCTK"
"26","ADAM11"
"27","FSD2"
"28","SLC16A6"
"29","SERPINB9"
"30","PTGES"
"31","GPNMB"
"32","SPARCL1"
"33","CTSK"
"34","EMILIN1"
"35","KRT8"
"36","NEGR1"
"37","HSPB1"
"38","CRYAB"
"39","LGALS3"
"40","EBF1"
"41","H1F0"
"42","SLC5A7"
"43","ID3"
"44","KDM6B"
"45","COL18A1"
"46","HES6"
"47","PALM2"
"48","PLIN4"
"49","NQO1"
"50","RABAC1"
"51","H2AFX"
"52","CCDC85B"
"53","PKMYT1"
"54","ID1"
"55","EFNA5"
"56","SNAI1"
"57","MGP"
"58","XDH"
"59","BRD3"
"60","MYRF"
"61","GPR182"
"62","CEBPB"
"63","MUSTN1"
"64","DNAJA4"
"65","RHOF"
"66","CCDC124"
"67","SNAI2"
"68","SEMA3A"
"69","CSAD"
"70","KLB"
"71","LSM10"
"72","LGALS1"
"73","CXCL12"
"74","RGS10"
"75","CRISPLD2"
"76","TYMS"
"77","ATG9B"
"78","TRAPPC5"
"79","GRB14"
