"","x"
"1","BCAT1"
"2","NRP1"
"3","GPX3"
"4","SNRPG"
"5","COX7B"
"6","ABCB1"
"7","NPNT"
"8","IMMP1L"
"9","LPL"
"10","ABCG1"
"11","LOX"
"12","COL8A2"
"13","PCP4"
"14","CD38"
"15","MFAP2"
"16","APOE"
"17","CAPG"
"18","SMOC2"
"19","BGN"
"20","REEP6"
"21","PPARGC1A"
"22","SPON2"
"23","NRBP2"
"24","COL16A1"
"25","COL3A1"
"26","COL1A2"
"27","H1FX"
"28","SLC16A6"
"29","POSTN"
"30","COL6A3"
"31","KRT18"
"32","COL1A1"
"33","LUM"
"34","PROM2"
"35","SOX10"
"36","TGFB2"
"37","HSPB1"
"38","SAT1"
"39","LGALS3"
"40","EBF1"
"41","COL5A2"
"42","DNM3OS"
"43","COL14A1"
"44","ID3"
"45","FST"
"46","COL18A1"
"47","PLIN4"
"48","RABAC1"
"49","ID1"
"50","SEMA3E"
"51","SNAI1"
"52","CALB1"
"53","MGP"
"54","XDH"
"55","FHDC1"
"56","MYRF"
"57","CCDC86"
"58","CEBPB"
"59","MRPL12"
"60","DKKL1"
"61","TM4SF1"
"62","TFPI"
"63","C4orf48"
"64","CNN1"
"65","CENPA"
"66","AKR1C2"
"67","LSM10"
"68","DES"
"69","PTHLH"
"70","THBS1"
"71","LGALS1"
"72","IFIT2"
"73","NEAT1"
"74","TYMS"
"75","GRB14"
