"","x"
"1","NRP1"
"2","GPX3"
"3","CD74"
"4","CPT1A"
"5","RPS21"
"6","TMSB15A"
"7","LPL"
"8","SERPINF1"
"9","H19"
"10","CD38"
"11","DHRS3"
"12","RARB"
"13","PRELID2"
"14","APOE"
"15","SKAP2"
"16","NRBP2"
"17","COL16A1"
"18","SLC16A6"
"19","PTGES"
"20","COL1A1"
"21","PODXL"
"22","CYP3A5"
"23","SAT1"
"24","MAP3K5"
"25","COL9A2"
"26","H1F0"
"27","ID3"
"28","ADGRL2"
"29","WNT10B"
"30","COL18A1"
"31","PLIN4"
"32","NQO1"
"33","METRN"
"34","ID1"
"35","MGP"
"36","MYRF"
"37","CEBPB"
"38","DKKL1"
"39","SH3TC2"
"40","TFPI"
"41","NKD2"
"42","DKK1"
"43","HS3ST3A1"
"44","TLE2"
"45","IGSF21"
"46","LGALS1"
"47","BMPER"
"48","DHRS2"
"49","RGS10"
"50","RMI2"
"51","BRINP3"
"52","GRHL3"
