"","x"
"1","SAT1"
"2","POSTN"
"3","PDIA2"
"4","ID1"
"5","ABCG1"
"6","TTYH3"
"7","SERPINB9"
"8","METRN"
"9","C1QTNF7"
"10","RBPMS"
"11","CXCL12"
"12","LPL"
"13","S1PR3"
"14","GOLGA8A"
"15","GOLGA8B"
"16","BMPER"
"17","TACC3"
"18","CYP2D7"
"19","WFDC2"
"20","RARB"
"21","GPR82"
"22","FAM167A"
"23","TMEM186"
"24","PABPC1L"
"25","ANGPTL4"
"26","NRP1"
"27","SERPINF1"
"28","RAD52"
"29","CENPA"
"30","COL18A1"
"31","EMILIN1"
"32","LGALS1"
"33","PLIN4"
"34","CD38"
"35","OGN"
"36","SPON2"
"37","GPNMB"
"38","SGK2"
"39","OLFML1"
"40","ROPN1L"
"41","FBLN1"
"42","PKMYT1"
"43","TYMS"
"44","GREM1"
"45","SOD3"
"46","TXN2"
"47","C4orf48"
"48","NFAM1"
"49","RAB20"
"50","NDUFS7"
"51","THBS1"
"52","COL5A3"
"53","TNFRSF25"
"54","PPARGC1A"
"55","TWIST1"
"56","CBLN2"
"57","SEMA3A"
"58","ID3"
"59","HSPB1"
"60","COL14A1"
"61","LOX"
"62","COX7B"
"63","ONECUT2"
"64","CA13"
"65","NR6A1"
"66","SNAI1"
"67","MGP"
"68","CCDC86"
"69","IMMP1L"
"70","C4orf19"
"71","COL16A1"
"72","EFNA5"
"73","LGALS3"
"74","CCDC124"
"75","KRT8"
"76","XDH"
"77","KLB"
"78","DDIT4L"
"79","AFAP1L2"
"80","GAR1"
"81","BGN"
"82","DAAM2"
"83","SNAI2"
"84","CYP3A5"
"85","ACRBP"
"86","TPRKB"
"87","ALS2CL"
"88","RPS15A"
"89","ICAM1"
"90","LSM10"
"91","WSB1"
"92","IFIT2"
"93","COL12A1"
"94","HGF"
"95","FST"
"96","CEBPB"
"97","PI15"
"98","MUSTN1"
"99","DHRS3"
"100","NPNT"
"101","CAPG"
"102","ENG"
"103","ARMCX4"
"104","RERG"
"105","KRBOX1"
"106","USP6"
"107","CEL"
"108","KDM6B"
"109","APOBEC2"
"110","PLCE1"
"111","TGM1"
"112","CSAD"
"113","FAM183A"
"114","MTTP"
"115","FAM107A"
"116","KCNMA1"
"117","FBLN5"
"118","ITGA1"
"119","RPLP1"
"120","MAP1S"
"121","NUDT13"
"122","KRT18"
"123","COL1A2"
"124","DPF3"
"125","ABCB1"
"126","DPYD"
"127","DNAJA4"
"128","HES6"
"129","TENM3"
"130","MYO7A"
"131","SPHKAP"
"132","CCDC85B"
"133","GRB14"
"134","DES"
"135","P2RY14"
"136","RABAC1"
"137","DRD2"
"138","ADAM12"
"139","SERPINA3"
"140","CCDC136"
"141","SMOC2"
"142","TGFB2"
"143","GPX3"
"144","COLGALT2"
"145","PHGDH"
"146","MPZ"
"147","GPR182"
"148","CPED1"
"149","LUM"
"150","PTCH2"
"151","CD74"
"152","DCN"
"153","PRELID2"
"154","KIRREL3"
"155","FRZB"
"156","HAP1"
"157","SP5"
"158","CRYAB"
"159","COL1A1"
"160","ATG9B"
"161","CTSK"
"162","BCO1"
"163","RGS10"
"164","TFPI"
"165","CPLX2"
"166","ADGRL2"
"167","COL6A3"
"168","CRISPLD2"
"169","COL3A1"
"170","OLFM3"
"171","MRPL12"
"172","MZT2B"
"173","NCL"
"174","NQO1"
"175","ADAM11"
"176","A1BG"
"177","KCNJ2"
"178","SLC16A6"
"179","SLC9A4"
"180","P2RX7"
"181","NR5A2"
"182","EDNRA"
"183","MAP3K5"
"184","SLCO1C1"
