"","x"
"1","ID1"
"2","OLIG1"
"3","CENPB"
"4","E2F3"
"5","AR"
"6","GRHL1"
"7","ZNF219"
"8","PPARA"
"9","NR1D2"
"10","SREBF2"
"11","ARNTL"
"12","SOX4"
"13","E2F1"
"14","KLF16"
"15","KLF9"
"16","ARID5B"
"17","CREB3"
"18","TFDP1"
"19","FOXM1"
"20","NR6A1"
"21","SNAI2"
"22","HEY1"
"23","MEF2C"
"24","ONECUT2"
"25","E2F8"
"26","JUND"
"27","SNAI1"
"28","ESRRA"
"29","CEBPB"
"30","SP5"
"31","BCL6"
"32","STAT2"
"33","NR2C1"
"34","STAT5B"
"35","SOX9"
"36","RELA"
"37","ZFHX3"
"38","NR3C2"
"39","NFE2L1"
"40","ATF5"
"41","MLX"
"42","NFE2L2"
"43","MAFG"
"44","NR5A2"
"45","PRDM16"
"46","ARNT2"
"47","FOXP1"
"48","GLIS3"
"49","OTX2"
