#Gene Symbol	Entrez ID	Genome-Wide Association Studies	CNV/SV Studies	Linkage Analyses	Low-Scale Genetic Association Studies	Expression Profilings	NGS de novo Mutation Studies	NGS Mosaic Mutation Studies	NGS Other Studies	Low-Scale Gene Studies	total score
PTEN	5728	0	0	1	0	0	3	0	2	3	78
NRXN1	9378	0	3	0	1	0	3	0	0	3	68
RELN	5649	2	0	1	3	0	2	1	0	3	67
SHANK3	85358	1	2	0	2	0	2	0	0	3	62
POGZ	23126	0	1	1	0	0	2	0	1	3	62
CHD8	57680	0	2	0	0	0	3	0	2	1	60
SCN2A	6326	0	0	0	0	0	3	1	2	1	57
CHD2	1106	0	1	1	0	0	3	0	1	1	52
GRIN2B	2904	0	0	0	2	0	3	0	1	1	52
AUTS2	26053	0	2	0	0	0	0	0	2	3	50
ANK3	288	0	0	0	0	0	3	0	1	1	48
ANKRD11	29123	0	1	0	0	0	2	0	2	1	48
MAOA	4128	0	1	0	3	0	0	0	1	3	46
NLGN4X	57502	2	1	0	3	0	0	0	0	3	46
TSC2	7249	0	2	1	1	0	2	0	1	1	46
DYRK1A	1859	0	0	0	0	0	1	0	2	2	46
CNTNAP2	26047	1	1	1	3	0	0	0	0	3	44
NLGN3	54413	0	1	0	1	0	1	0	0	3	44
MKL2	57496	0	0	2	0	0	3	1	1	0	43
FOXP1	27086	1	0	0	0	0	0	0	1	3	42
MET	4233	1	0	0	3	1	1	0	0	2	41
GABRB3	2562	0	3	0	2	1	0	0	0	3	41
SLC6A4	6532	0	0	2	3	0	0	0	0	3	40
C4B	721	0	1	0	3	2	0	0	0	3	40
MECP2	4204	0	1	0	1	0	1	0	2	1	40
GIGYF2	26058	0	1	0	0	0	3	0	1	0	40
LAMC3	10319	0	0	0	0	0	3	0	1	0	38
SLC6A8	6535	0	1	0	0	0	0	0	2	2	38
SYNGAP1	8831	0	1	0	0	0	2	0	2	0	38
FOXP2	93986	1	0	1	1	0	0	0	1	2	36
CDKL5	6792	0	1	0	0	0	0	0	3	1	36
EEF1A2	1917	1	1	0	0	0	1	0	0	2	36
EN2	2020	0	0	0	3	0	0	0	0	3	36
MARK1	4139	0	0	0	2	1	1	0	0	2	35
BDNF	627	0	0	0	2	0	0	0	0	3	34
ASMT	438	0	1	0	1	0	0	0	0	3	34
KCNMA1	3778	0	0	1	0	1	2	1	0	1	34
MAPK3	5595	0	2	0	0	0	1	0	0	2	34
MYT1L	23040	0	1	1	0	1	2	0	1	0	33
STXBP1	6812	0	1	0	0	3	2	0	1	0	33
FMR1	2332	0	1	0	1	1	0	0	1	2	33
UBR2	23304	0	1	0	0	0	3	1	0	0	33
SEMA5A	9037	1	0	0	0	1	1	0	1	1	33
OXTR	5021	1	0	1	3	1	0	0	0	2	33
SLC6A1	6529	0	0	1	0	0	3	0	0	0	32
SLC6A13	6540	0	1	0	0	0	3	0	0	0	32
PPP2R5D	5528	0	1	0	0	0	2	0	0	1	32
ANK2	287	0	1	0	0	0	3	0	0	0	32
SLC25A12	8604	0	0	2	3	2	0	0	0	2	32
ZNF774	342132	0	1	1	0	0	2	0	1	0	32
SETBP1	26040	0	0	1	0	1	2	0	1	0	31
ANXA1	301	0	0	0	0	1	2	0	0	1	31
SLC6A3	6531	0	0	0	0	0	2	0	0	1	30
DRD4	1815	0	0	0	0	0	0	0	0	3	30
EFR3A	23167	0	0	0	0	0	2	0	0	1	30
KIRREL3	84623	0	0	0	0	0	3	0	0	0	30
ST7	7982	0	0	0	0	0	2	0	0	1	30
CHD1	1105	0	0	0	0	0	3	0	0	0	30
KCNT2	343450	0	0	0	0	0	3	0	0	0	30
TBR1	10716	0	0	0	0	0	3	0	0	0	30
