Gene;Androgen human and mouse;Estrogen human and mouse and rat;Glucocorticoid human and mouse and rat;Peroxisome proliferator-activated receptor human and mouse and rat;Progesterone receptor human and mouse;RA human and mouse;Thyroid hormone only mouse
ATAD2;;;;;;;Thyroid hormone
ASAP2;;;;;;;Thyroid hormone
SNAI2;;;;;;;Thyroid hormone
MALT1;;;;;;;Thyroid hormone
SERPINI1;;;;;;;Thyroid hormone
MPHOSPH9;;;;;;;Thyroid hormone
ZBTB10;;;;;;;Thyroid hormone
PEG3;;;;;;;Thyroid hormone
MAK;;;;;;;Thyroid hormone
LIFR;;;;;;;Thyroid hormone
WIPI1;;;;;;;Thyroid hormone
SSBP2;;;;;;;Thyroid hormone
DNASE2B;;;;;;;Thyroid hormone
AZGP1;;;;;;;Thyroid hormone
ELOVL7;;;;;;;Thyroid hormone
CAMKK2;;;;;;;Thyroid hormone
PELI2;;;;;;;Thyroid hormone
VPS54;;;;;;;Thyroid hormone
INTS8;;;;;;;Thyroid hormone
FNBP1L;;;;;;;Thyroid hormone
KCNS3;;;;;;;Thyroid hormone
TWIST1;;;;;;;Thyroid hormone
NCOA7;;;;;;;Thyroid hormone
MAP9;;;;;;;Thyroid hormone
SEC24B;;;;;;;Thyroid hormone
IMPDH1;;;;;;;Thyroid hormone
SCAP;;;;;;;Thyroid hormone
ACSM3;;;;;;;Thyroid hormone
SETBP1;;;;;;;Thyroid hormone
KCTD3;;;;;;;Thyroid hormone
HILPDA;;;;;;;Thyroid hormone
COBL;;;;;;;Thyroid hormone
CPNE3;;;;;;;Thyroid hormone
TMEM138;;;;;;;Thyroid hormone
NPTN;;;;;;;Thyroid hormone
LRIG3;;;;;;;Thyroid hormone
SLC41A1;;;;;;;Thyroid hormone
IL17RB;;;;;;;Thyroid hormone
DNAJC10;;;;;;;Thyroid hormone
TPX2;;;;;;;Thyroid hormone
EPN2;;;;;;;Thyroid hormone
MAP2K4;;;;;;;Thyroid hormone
OTULIN;;;;;;;Thyroid hormone
CBLN2;;;;;;;Thyroid hormone
SLC37A3;;;;;;;Thyroid hormone
NDFIP2;;;;;;;Thyroid hormone
SHOC2;;;;;;;Thyroid hormone
ZBTB24;;;;;;;Thyroid hormone
NINL;;;;;;;Thyroid hormone
CYP2U1;;;;;;;Thyroid hormone
VRK1;;;;;;;Thyroid hormone
PKD2;;;;;;;Thyroid hormone
BMPR1A;;;;;;;Thyroid hormone
MCU;;;;;;;Thyroid hormone
ZBTB34;;;;;;;Thyroid hormone
LTN1;;;;;;;Thyroid hormone
YOD1;;;;;;;Thyroid hormone
ATG3;;;;;;;Thyroid hormone
PAK2;;;;;;;Thyroid hormone
IER5;;;;;;;Thyroid hormone
TNFRSF10B;;;;;;;Thyroid hormone
SMAP1;;;;;;;Thyroid hormone
TTLL12;;;;;;;Thyroid hormone
FIGNL1;;;;;;;Thyroid hormone
NCAM2;;;;;;;Thyroid hormone
DCAF6;;;;;;;Thyroid hormone
KDM5B;;;;;;;Thyroid hormone
STT3A;;;;;;;Thyroid hormone
MMP10;;;;;;;Thyroid hormone
MKLN1;;;;;;;Thyroid hormone
AUTS2;;;;;;;Thyroid hormone
TNFSF15;;;;;;;Thyroid hormone
FBXL7;;;;;;;Thyroid hormone
AGR2;;;;;;;Thyroid hormone
SUMF1;;;;;;;Thyroid hormone
CYB5D2;;;;;;;Thyroid hormone
NDUFB4;;;;;;;Thyroid hormone
HGD;;;;;;;Thyroid hormone
ARHGAP29;;;;;;;Thyroid hormone
HOMER1;;;;;;;Thyroid hormone
RNF43;;;;;;;Thyroid hormone
PPFIBP1;;;;;;;Thyroid hormone
PKNOX2;;;;;;;Thyroid hormone
SEC61A1;;;;;;;Thyroid hormone
QSOX1;;;;;;;Thyroid hormone
XRCC3;;;;;;;Thyroid hormone
KCNMA1;;;;;;;Thyroid hormone
SLC38A6;;;;;;;Thyroid hormone
FIBP;;;;;;;Thyroid hormone
PFKM;;;;;;;Thyroid hormone
TMED7;;;;;;;Thyroid hormone
GAREM1;;;;;;;Thyroid hormone
MYO5C;;;;;;;Thyroid hormone
TARSL2;;;;;;;Thyroid hormone
INTS10;;;;;;;Thyroid hormone
RALGAPB;;;;;;;Thyroid hormone
FSCN1;;;;;;;Thyroid hormone
CDR2L;;;;;;;Thyroid hormone
KCNG1;;;;;;;Thyroid hormone
RALGPS1;;;;;;;Thyroid hormone
TM9SF3;;;;;;;Thyroid hormone
ANKMY2;;;;;;;Thyroid hormone
GOLGB1;;;;;;;Thyroid hormone
NUBP1;;;;;;;Thyroid hormone
RPS6KA3;;;;;;;Thyroid hormone
FAM222B;;;;;;;Thyroid hormone
TLR3;;;;;;;Thyroid hormone
TRIM21;;;;;;;Thyroid hormone
EML1;;;;;;;Thyroid hormone
CYP39A1;;;;;;;Thyroid hormone
PDZK1IP1;;;;;;;Thyroid hormone
CREBL2;;;;;;;Thyroid hormone
ORM2;;;;;;;Thyroid hormone
WWC1;;;;;;;Thyroid hormone
RTN4IP1;;;;;;;Thyroid hormone
CSNK1G3;;;;;;;Thyroid hormone
EXOC1;;;;;;;Thyroid hormone
GPATCH2;;;;;;;Thyroid hormone
PTPN21;;;;;;;Thyroid hormone
E2F3;;;;;;;Thyroid hormone
GAS2;;;;;;;Thyroid hormone
SPATA2;;;;;;;Thyroid hormone
TRAM1;;;;;;;Thyroid hormone
ZFHX3;;;;;;;Thyroid hormone
TMEM243;;;;;;;Thyroid hormone
TCF7L2;;;;;;;Thyroid hormone
INTS12;;;;;;;Thyroid hormone
RBM4B;;;;;;;Thyroid hormone
MNS1;;;;;;;Thyroid hormone
MAP3K14;;;;;;;Thyroid hormone
G3BP2;;;;;;;Thyroid hormone
ZCWPW1;;;;;;;Thyroid hormone
TSPYL2;;;;;;;Thyroid hormone
SLC4A4;;;;;;;Thyroid hormone
PTGFR;;;;;;;Thyroid hormone
INPP5A;;;;;;;Thyroid hormone
NBDY;;;;;;;Thyroid hormone
FKTN;;;;;;;Thyroid hormone
ITGA2;;;;;;;Thyroid hormone
SDR39U1;;;;;;;Thyroid hormone
CCDC189;;;;;;;Thyroid hormone
ARHGEF2;;;;;;;Thyroid hormone
MOCOS;;;;;;;Thyroid hormone
NCK2;;;;;;;Thyroid hormone
RFXANK;;;;;;;Thyroid hormone
MIS18BP1;;;;;;;Thyroid hormone
LSM6;;;;;;;Thyroid hormone
PRRG4;;;;;;;Thyroid hormone
TCAF1;;;;;;;Thyroid hormone
SIRT1;;;;;;;Thyroid hormone
TMEM94;;;;;;;Thyroid hormone
TBL1X;;;;;;;Thyroid hormone
NEK2;;;;;;;Thyroid hormone
CCNB1IP1;;;;;;;Thyroid hormone
