ID;Family;Physiological System;Organ;Species;Gene;Percentile;Discovery Rate;GMFC;cPValue;DOI
3510622;Thyroid hormone receptors;ALL;ALL;House Mouse;Bcl3;100;0,733333333;1,79838918;9,43E-23;10.1621/RMOspi4wWY.1
3515972;Thyroid hormone receptors;ALL;ALL;House Mouse;Idh3a;99;0,7;1,681114932;4,39E-21;10.1621/RMOspi4wWY.1
3517940;Thyroid hormone receptors;ALL;ALL;House Mouse;Mmd;99;0,677419355;1,460375788;1,3E-20;10.1621/RMOspi4wWY.1
3523214;Thyroid hormone receptors;ALL;ALL;House Mouse;Stat5a;99;0,689655172;1,481855688;6,16E-20;10.1621/RMOspi4wWY.1
3518557;Thyroid hormone receptors;ALL;ALL;House Mouse;Ndrg1;99;0,703703704;1,554928193;2,87E-19;10.1621/RMOspi4wWY.1
3524543;Thyroid hormone receptors;ALL;ALL;House Mouse;Trp53inp2;99;0,64516129;1,719556612;4,72E-19;10.1621/RMOspi4wWY.1
3511653;Thyroid hormone receptors;ALL;ALL;House Mouse;Ces1f;99;0,655172414;2,584439337;2,35E-18;10.1621/RMOspi4wWY.1
3513659;Thyroid hormone receptors;ALL;ALL;House Mouse;Ephx1;99;0,633333333;1,46081948;6,1E-18;10.1621/RMOspi4wWY.1
3525366;Thyroid hormone receptors;ALL;ALL;House Mouse;Wipf3;99;0,666666667;1,390008405;1,16E-17;10.1621/RMOspi4wWY.1
3515940;Thyroid hormone receptors;ALL;ALL;House Mouse;Hyi;99;0,612903226;1,537662151;1,5E-17;10.1621/RMOspi4wWY.1
3517543;Thyroid hormone receptors;ALL;ALL;House Mouse;Mapk6;99;0,612903226;1,318549846;1,5E-17;10.1621/RMOspi4wWY.1
3520026;Thyroid hormone receptors;ALL;ALL;House Mouse;Plekhf1;99;0,612903226;1,298030548;1,5E-17;10.1621/RMOspi4wWY.1
3514458;Thyroid hormone receptors;ALL;ALL;House Mouse;Frmd8;99;0,612903226;1,416629819;1,5E-17;10.1621/RMOspi4wWY.1
3518444;Thyroid hormone receptors;ALL;ALL;House Mouse;Nadk;99;0,612903226;1,234102926;1,5E-17;10.1621/RMOspi4wWY.1
